wl [nm]	refractive_index 	+/- error 
at T=15.0 degC, S=34.0 PSU, depol.ratio=0.039, Theta=90.0 deg
350.0	   1.3568427380	   0.0000300000
352.0	   1.3565319970	   0.0000300000
354.0	   1.3562275580	   0.0000300000
356.0	   1.3559292401	   0.0000300000
358.0	   1.3556368687	   0.0000300000
360.0	   1.3553502753	   0.0000300000
362.0	   1.3550692969	   0.0000300000
364.0	   1.3547937767	   0.0000300000
366.0	   1.3545235626	   0.0000300000
368.0	   1.3542585082	   0.0000300000
370.0	   1.3539984718	   0.0000300000
372.0	   1.3537433164	   0.0000300000
374.0	   1.3534929097	   0.0000300000
376.0	   1.3532471238	   0.0000300000
378.0	   1.3530058349	   0.0000300000
380.0	   1.3527689234	   0.0000300000
382.0	   1.3525362735	   0.0000300000
384.0	   1.3523077734	   0.0000300000
386.0	   1.3520833145	   0.0000300000
388.0	   1.3518627921	   0.0000300000
390.0	   1.3516461046	   0.0000300000
392.0	   1.3514331538	   0.0000300000
394.0	   1.3512238444	   0.0000300000
396.0	   1.3510180843	   0.0000300000
398.0	   1.3508157841	   0.0000300000
400.0	   1.3506168574	   0.0000300000
402.0	   1.3504212203	   0.0000300000
404.0	   1.3502287916	   0.0000300000
406.0	   1.3500394924	   0.0000300000
408.0	   1.3498532465	   0.0000300000
410.0	   1.3496699798	   0.0000300000
412.0	   1.3494896204	   0.0000300000
414.0	   1.3493120987	   0.0000300000
416.0	   1.3491373472	   0.0000300000
418.0	   1.3489653003	   0.0000300000
420.0	   1.3487958942	   0.0000300000
422.0	   1.3486290674	   0.0000300000
424.0	   1.3484647598	   0.0000300000
426.0	   1.3483029133	   0.0000300000
428.0	   1.3481434713	   0.0000300000
430.0	   1.3479863788	   0.0000300000
432.0	   1.3478315827	   0.0000300000
434.0	   1.3476790311	   0.0000300000
436.0	   1.3475286737	   0.0000300000
438.0	   1.3473804616	   0.0000300000
440.0	   1.3472343473	   0.0000300000
442.0	   1.3470902845	   0.0000300000
444.0	   1.3469482283	   0.0000300000
446.0	   1.3468081352	   0.0000300000
448.0	   1.3466699625	   0.0000300000
450.0	   1.3465336691	   0.0000300000
452.0	   1.3463992147	   0.0000300000
454.0	   1.3462665603	   0.0000300000
456.0	   1.3461356678	   0.0000300000
458.0	   1.3460065002	   0.0000300000
460.0	   1.3458790215	   0.0000300000
462.0	   1.3457531967	   0.0000300000
464.0	   1.3456289915	   0.0000300000
466.0	   1.3455063729	   0.0000300000
468.0	   1.3453853085	   0.0000300000
470.0	   1.3452657666	   0.0000300000
472.0	   1.3451477168	   0.0000300000
474.0	   1.3450311289	   0.0000300000
476.0	   1.3449159740	   0.0000300000
478.0	   1.3448022236	   0.0000300000
480.0	   1.3446898501	   0.0000300000
482.0	   1.3445788265	   0.0000300000
484.0	   1.3444691266	   0.0000300000
486.0	   1.3443607247	   0.0000300000
488.0	   1.3442535958	   0.0000300000
490.0	   1.3441477157	   0.0000300000
492.0	   1.3440430606	   0.0000300000
494.0	   1.3439396072	   0.0000300000
496.0	   1.3438373331	   0.0000300000
498.0	   1.3437362161	   0.0000300000
500.0	   1.3436362348	   0.0000300000
502.0	   1.3435373681	   0.0000300000
504.0	   1.3434395957	   0.0000300000
506.0	   1.3433428975	   0.0000300000
508.0	   1.3432472540	   0.0000300000
510.0	   1.3431526461	   0.0000300000
512.0	   1.3430590553	   0.0000300000
514.0	   1.3429664634	   0.0000300000
516.0	   1.3428748527	   0.0000300000
518.0	   1.3427842059	   0.0000300000
520.0	   1.3426945059	   0.0000300000
522.0	   1.3426057364	   0.0000300000
524.0	   1.3425178812	   0.0000300000
526.0	   1.3424309244	   0.0000300000
528.0	   1.3423448507	   0.0000300000
530.0	   1.3422596450	   0.0000300000
532.0	   1.3421752926	   0.0000300000
534.0	   1.3420917791	   0.0000300000
536.0	   1.3420090905	   0.0000300000
538.0	   1.3419272128	   0.0000300000
540.0	   1.3418461328	   0.0000300000
542.0	   1.3417658372	   0.0000300000
544.0	   1.3416863132	   0.0000300000
546.0	   1.3416075482	   0.0000300000
548.0	   1.3415295299	   0.0000300000
550.0	   1.3414522463	   0.0000300000
552.0	   1.3413756855	   0.0000300000
554.0	   1.3412998360	   0.0000300000
556.0	   1.3412246866	   0.0000300000
558.0	   1.3411502261	   0.0000300000
560.0	   1.3410764439	   0.0000300000
562.0	   1.3410033293	   0.0000300000
564.0	   1.3409308719	   0.0000300000
566.0	   1.3408590616	   0.0000300000
568.0	   1.3407878886	   0.0000300000
570.0	   1.3407173429	   0.0000300000
572.0	   1.3406474152	   0.0000300000
574.0	   1.3405780962	   0.0000300000
576.0	   1.3405093765	   0.0000300000
578.0	   1.3404412474	   0.0000300000
580.0	   1.3403737001	   0.0000300000
582.0	   1.3403067259	   0.0000300000
584.0	   1.3402403164	   0.0000300000
586.0	   1.3401744635	   0.0000300000
588.0	   1.3401091589	   0.0000300000
590.0	   1.3400443948	   0.0000300000
592.0	   1.3399801634	   0.0000300000
594.0	   1.3399164571	   0.0000300000
596.0	   1.3398532684	   0.0000300000
598.0	   1.3397905900	   0.0000300000
600.0	   1.3397284148	   0.0000300000
602.0	   1.3396667356	   0.0000300000
604.0	   1.3396055456	   0.0000300000
606.0	   1.3395448380	   0.0000300000
608.0	   1.3394846061	   0.0000300000
610.0	   1.3394248435	   0.0000300000
612.0	   1.3393655438	   0.0000300000
614.0	   1.3393067006	   0.0000300000
616.0	   1.3392483079	   0.0000300000
618.0	   1.3391903595	   0.0000300000
620.0	   1.3391328496	   0.0000300000
622.0	   1.3390757723	   0.0000300000
624.0	   1.3390191219	   0.0000300000
626.0	   1.3389628928	   0.0000300000
628.0	   1.3389070795	   0.0000300000
630.0	   1.3388516767	   0.0000300000
632.0	   1.3387966789	   0.0000300000
634.0	   1.3387420810	   0.0000300000
636.0	   1.3386878779	   0.0000300000
638.0	   1.3386340646	   0.0000300000
640.0	   1.3385806360	   0.0000300000
642.0	   1.3385275874	   0.0000300000
644.0	   1.3384749140	   0.0000300000
646.0	   1.3384226111	   0.0000300000
648.0	   1.3383706742	   0.0000300000
650.0	   1.3383190986	   0.0000300000
652.0	   1.3382678800	   0.0000300000
654.0	   1.3382170140	   0.0000300000
656.0	   1.3381664963	   0.0000300000
658.0	   1.3381163228	   0.0000300000
660.0	   1.3380664891	   0.0000300000
662.0	   1.3380169914	   0.0000300000
664.0	   1.3379678256	   0.0000300000
666.0	   1.3379189877	   0.0000300000
668.0	   1.3378704739	   0.0000300000
670.0	   1.3378222804	   0.0000300000
672.0	   1.3377744034	   0.0000300000
674.0	   1.3377268393	   0.0000300000
676.0	   1.3376795844	   0.0000300000
678.0	   1.3376326353	   0.0000300000
680.0	   1.3375859883	   0.0000300000
682.0	   1.3375396400	   0.0000300000
684.0	   1.3374935871	   0.0000300000
686.0	   1.3374478262	   0.0000300000
688.0	   1.3374023541	   0.0000300000
690.0	   1.3373571675	   0.0000300000
692.0	   1.3373122632	   0.0000300000
694.0	   1.3372676382	   0.0000300000
696.0	   1.3372232893	   0.0000300000
698.0	   1.3371792135	   0.0000300000
700.0	   1.3371354078	   0.0005000000
702.0	   1.3370918694	   0.0005000000
704.0	   1.3370485953	   0.0005000000
706.0	   1.3370055826	   0.0005000000
708.0	   1.3369628287	   0.0005000000
710.0	   1.3369203307	   0.0005000000
712.0	   1.3368780858	   0.0005000000
714.0	   1.3368360915	   0.0005000000
716.0	   1.3367943452	   0.0005000000
718.0	   1.3367528441	   0.0005000000
720.0	   1.3367115859	   0.0005000000
722.0	   1.3366705678	   0.0005000000
724.0	   1.3366297876	   0.0005000000
726.0	   1.3365892427	   0.0005000000
728.0	   1.3365489307	   0.0005000000
730.0	   1.3365088493	   0.0005000000
732.0	   1.3364689962	   0.0005000000
734.0	   1.3364293689	   0.0005000000
736.0	   1.3363899654	   0.0005000000
738.0	   1.3363507833	   0.0005000000
740.0	   1.3363118204	   0.0005000000
742.0	   1.3362730746	   0.0005000000
744.0	   1.3362345438	   0.0005000000
746.0	   1.3361962258	   0.0005000000
748.0	   1.3361581185	   0.0005000000
750.0	   1.3361202200	   0.0005000000
752.0	   1.3360825281	   0.0005000000
754.0	   1.3360450409	   0.0005000000
756.0	   1.3360077565	   0.0005000000
758.0	   1.3359706729	   0.0005000000
760.0	   1.3359337882	   0.0005000000
762.0	   1.3358971005	   0.0005000000
764.0	   1.3358606080	   0.0005000000
766.0	   1.3358243088	   0.0005000000
768.0	   1.3357882011	   0.0005000000
770.0	   1.3357522832	   0.0005000000
772.0	   1.3357165533	   0.0005000000
774.0	   1.3356810096	   0.0005000000
776.0	   1.3356456505	   0.0005000000
778.0	   1.3356104743	   0.0005000000
780.0	   1.3355754792	   0.0005000000
782.0	   1.3355406637	   0.0005000000
784.0	   1.3355060262	   0.0005000000
786.0	   1.3354715650	   0.0005000000
788.0	   1.3354372786	   0.0005000000
790.0	   1.3354031655	   0.0005000000
792.0	   1.3353692239	   0.0005000000
794.0	   1.3353354526	   0.0005000000
796.0	   1.3353018499	   0.0005000000
798.0	   1.3352684144	   0.0005000000
800.0	   1.3352351447	   0.0005000000
802.0	   1.3352051447	   0.0005000000
804.0	   1.3351771447	   0.0005000000
806.0	   1.3351481447	   0.0005000000
808.0	   1.3351201447	   0.0005000000
810.0	   1.3350931447	   0.0005000000
812.0	   1.3350651447	   0.0005000000
814.0	   1.3350381447	   0.0005000000
816.0	   1.3350101447	   0.0005000000
818.0	   1.3349831447	   0.0005000000
820.0	   1.3349561447	   0.0005000000
822.0	   1.3349291447	   0.0005000000
824.0	   1.3349031447	   0.0005000000
826.0	   1.3348761447	   0.0005000000
828.0	   1.3348501447	   0.0005000000
830.0	   1.3348231447	   0.0005000000
832.0	   1.3347971447	   0.0005000000
834.0	   1.3347711447	   0.0005000000
836.0	   1.3347451447	   0.0005000000
838.0	   1.3347191447	   0.0005000000
840.0	   1.3346931447	   0.0005000000
842.0	   1.3346671447	   0.0005000000
844.0	   1.3346411447	   0.0005000000
846.0	   1.3346161447	   0.0005000000
848.0	   1.3345901447	   0.0005000000
850.0	   1.3345651447	   0.0005000000
852.0	   1.3345401447	   0.0005000000
854.0	   1.3345151447	   0.0005000000
856.0	   1.3344901447	   0.0005000000
858.0	   1.3344651447	   0.0005000000
860.0	   1.3344401447	   0.0005000000
862.0	   1.3344151447	   0.0005000000
864.0	   1.3343901447	   0.0005000000
866.0	   1.3343651447	   0.0005000000
868.0	   1.3343411447	   0.0005000000
870.0	   1.3343161447	   0.0005000000
872.0	   1.3342921447	   0.0005000000
874.0	   1.3342681447	   0.0005000000
876.0	   1.3342431447	   0.0005000000
878.0	   1.3342191447	   0.0005000000
880.0	   1.3341951447	   0.0005000000
882.0	   1.3341711447	   0.0005000000
884.0	   1.3341471447	   0.0005000000
886.0	   1.3341231447	   0.0005000000
888.0	   1.3340991447	   0.0005000000
890.0	   1.3340761447	   0.0005000000
892.0	   1.3340521447	   0.0005000000
894.0	   1.3340281447	   0.0005000000
896.0	   1.3340051447	   0.0005000000
898.0	   1.3339811447	   0.0005000000
900.0	   1.3339581447	   0.0005000000
902.0	   1.3339341447	   0.0005000000
904.0	   1.3339111447	   0.0005000000
906.0	   1.3338881447	   0.0005000000
908.0	   1.3338651447	   0.0005000000
910.0	   1.3338411447	   0.0005000000
912.0	   1.3338181447	   0.0005000000
914.0	   1.3337951447	   0.0005000000
916.0	   1.3337721447	   0.0005000000
918.0	   1.3337501447	   0.0005000000
920.0	   1.3337271447	   0.0005000000
922.0	   1.3337041447	   0.0005000000
924.0	   1.3336811447	   0.0005000000
926.0	   1.3336581447	   0.0005000000
928.0	   1.3336361447	   0.0005000000
930.0	   1.3336131447	   0.0005000000
932.0	   1.3335911447	   0.0005000000
934.0	   1.3335681447	   0.0005000000
936.0	   1.3335461447	   0.0005000000
938.0	   1.3335241447	   0.0005000000
940.0	   1.3335011447	   0.0005000000
942.0	   1.3334791447	   0.0005000000
944.0	   1.3334571447	   0.0005000000
946.0	   1.3334351447	   0.0005000000
948.0	   1.3334131447	   0.0005000000
950.0	   1.3333901447	   0.0005000000
952.0	   1.3333681447	   0.0005000000
954.0	   1.3333461447	   0.0005000000
956.0	   1.3333241447	   0.0005000000
958.0	   1.3333031447	   0.0005000000
960.0	   1.3332811447	   0.0005000000
962.0	   1.3332591447	   0.0005000000
964.0	   1.3332371447	   0.0005000000
966.0	   1.3332151447	   0.0005000000
968.0	   1.3331941447	   0.0005000000
970.0	   1.3331721447	   0.0005000000
972.0	   1.3331501447	   0.0005000000
974.0	   1.3331291447	   0.0005000000
976.0	   1.3331071447	   0.0005000000
978.0	   1.3330851447	   0.0005000000
980.0	   1.3330641447	   0.0005000000
982.0	   1.3330421447	   0.0005000000
984.0	   1.3330211447	   0.0005000000
986.0	   1.3329991447	   0.0005000000
988.0	   1.3329781447	   0.0005000000
990.0	   1.3329561447	   0.0005000000
992.0	   1.3329351447	   0.0005000000
994.0	   1.3329131447	   0.0005000000
996.0	   1.3328921447	   0.0005000000
998.0	   1.3328701447	   0.0005000000
1000.0	   1.3328491447	   0.0005000000
1002.0	   1.3328281447	   0.0005000000
1004.0	   1.3328061447	   0.0005000000
1006.0	   1.3327851447	   0.0005000000
1008.0	   1.3327641447	   0.0005000000
1010.0	   1.3327421447	   0.0005000000
1012.0	   1.3327211447	   0.0005000000
1014.0	   1.3327001447	   0.0005000000
1016.0	   1.3326791447	   0.0005000000
1018.0	   1.3326581447	   0.0005000000
1020.0	   1.3326371447	   0.0005000000
1022.0	   1.3326161447	   0.0005000000
1024.0	   1.3325951447	   0.0005000000
1026.0	   1.3325731447	   0.0005000000
1028.0	   1.3325521447	   0.0005000000
1030.0	   1.3325311447	   0.0005000000
1032.0	   1.3325101447	   0.0005000000
1034.0	   1.3324891447	   0.0005000000
1036.0	   1.3324681447	   0.0005000000
1038.0	   1.3324471447	   0.0005000000
1040.0	   1.3324261447	   0.0005000000
1042.0	   1.3324051447	   0.0005000000
1044.0	   1.3323841447	   0.0005000000
1046.0	   1.3323631447	   0.0005000000
1048.0	   1.3323421447	   0.0005000000
1050.0	   1.3323211447	   0.0005000000
1052.0	   1.3323001447	   0.0005000000
1054.0	   1.3322791447	   0.0005000000
1056.0	   1.3322581447	   0.0005000000
1058.0	   1.3322371447	   0.0005000000
1060.0	   1.3322161447	   0.0005000000
1062.0	   1.3321951447	   0.0005000000
1064.0	   1.3321731447	   0.0005000000
1066.0	   1.3321521447	   0.0005000000
1068.0	   1.3321311447	   0.0005000000
1070.0	   1.3321101447	   0.0005000000
1072.0	   1.3320891447	   0.0005000000
1074.0	   1.3320681447	   0.0005000000
1076.0	   1.3320471447	   0.0005000000
1078.0	   1.3320261447	   0.0005000000
1080.0	   1.3320051447	   0.0005000000
1082.0	   1.3319841447	   0.0005000000
1084.0	   1.3319631447	   0.0005000000
1086.0	   1.3319421447	   0.0005000000
1088.0	   1.3319211447	   0.0005000000
1090.0	   1.3319001447	   0.0005000000
1092.0	   1.3318791447	   0.0005000000
1094.0	   1.3318581447	   0.0005000000
1096.0	   1.3318371447	   0.0005000000
1098.0	   1.3318161447	   0.0005000000
1100.0	   1.3317951447	   0.0005000000
1102.0	   1.3317741447	   0.0005000000
1104.0	   1.3317531447	   0.0005000000
1106.0	   1.3317321447	   0.0005000000
1108.0	   1.3317111447	   0.0005000000
1110.0	   1.3316901447	   0.0005000000
1112.0	   1.3316691447	   0.0005000000
1114.0	   1.3316481447	   0.0005000000
1116.0	   1.3316271447	   0.0005000000
1118.0	   1.3316061447	   0.0005000000
1120.0	   1.3315851447	   0.0005000000
1122.0	   1.3315641447	   0.0005000000
1124.0	   1.3315431447	   0.0005000000
1126.0	   1.3315221447	   0.0005000000
