lambda,thetai,phi,thetar,phir,f_r11,f_r12/f_r11,f_r13/f_r11,f_r14/f_r11,f_r21/f_r11,f_r22/f_r11,f_r23/f_r11,f_r24/f_r11,f_r31/f_r11,f_r32/f_r11,f_r33/f_r11,f_r34/f_r11,f_r41/f_r11,f_r42/f_r11,f_r43/f_r11,f_r44/f_r11
0.351,-0.001,0,80.0258,-156.038,2.62E-01,0.0127079,-0.0221374,0.00796103,0.0179478,-0.00716277,0.00680497,-0.00929149,0.0035212,0.0153311,0.0141456,0.0126069,0.0404297,-0.0321454,-0.132097,-0.0418099
0.351,-0.001,0,71.5651,-161.565,2.80E-01,0.0162555,-0.00656577,0.00817074,0.0099427,0.0107531,0.0216109,0.0199917,0.00483012,0.0206329,-0.0984955,0.016035,-0.0127945,-0.0221812,0.0109758,0.0341665
0.351,-0.001,0,67.2135,-167.471,2.88E-01,0.000538316,0.000277557,0.00617978,-0.000300143,0.0223042,-0.014753,-0.0076821,-0.0106956,0.00473395,-0.000438839,0.0436646,0.00395647,0.0138904,0.00164846,0.00237437
0.351,-0.001,0,64.8959,-173.66,2.94E-01,0.0122541,-0.0010868,0.00479218,0.0296052,0.0489349,-0.0369176,-0.0334158,0.00226704,-0.0171786,0.0370908,0.0386912,0.00269032,-0.0151198,-0.00120483,-0.00264102
0.351,-0.001,0,64.1581,180,2.98E-01,0.00384493,0.0124817,0.00983331,0.0147226,0.0285619,-0.0220476,-0.0171484,0.0184044,0.0228725,-0.00449064,-0.00482856,-0.0168318,-0.0257263,-0.00718252,0.00836451
0.351,-0.001,0,64.8959,173.66,2.94E-01,0.0069363,0.00707177,0.00394047,0.0100746,0.0529242,-0.010209,-0.0113058,-0.0155493,-0.0339031,0.0120592,0.0327317,0.00803214,0.0154981,-0.0141056,-0.0132268
0.351,-0.001,0,67.2135,167.471,2.93E-01,0.00030557,0.00959465,-0.0093554,0.00746592,0.054268,-0.0183558,-0.0111949,-0.0104337,-0.0357603,-0.0326921,0.013156,-0.00156905,-0.00347765,-0.0122106,0.00278004
0.351,-0.001,0,71.5651,161.565,2.85E-01,-0.00387064,-0.00395549,0.00827334,0.0120983,0.03946,0.0145569,-0.0117617,0.0122268,0.0344778,-0.0397352,-0.0305193,-0.0168149,-0.0179694,-0.00577521,0.00497931
0.351,-0.001,0,80.0258,156.038,2.64E-01,0.0129123,0.0357076,-0.00704406,0.0332858,0.108436,0.0331522,-0.0562381,0.0673697,-0.0324646,-0.0230936,-0.0764627,-0.00809054,-0.0215093,0.00808375,-0.0121987
0.351,-0.001,0,70.6303,-147.995,2.84E-01,-0.00516826,-0.0071445,-0.00361681,0.0108984,0.0269102,0.000971886,-0.0143254,-0.00319681,0.0324655,0.0295827,0.0294794,0.00195992,-0.00659964,0.0117336,-0.00140531
0.351,-0.001,0,63.4349,-153.435,2.97E-01,0.0106612,-0.0055874,-8.99E-05,0.00896678,0.0104154,-0.0126186,-0.0129022,-0.00353716,0.00890403,-0.0304636,0.0276454,0.0159326,-0.0105419,-0.0204154,-0.0133272
0.351,-0.001,0,58.6936,-159.444,3.02E-01,-0.000421573,-0.016641,-0.00969133,0.023024,0.0258217,-0.0155815,-0.0154187,-0.00668904,0.0159907,-0.00485108,0.0284713,0.00601378,0.00131763,-0.0179755,-0.0113702
0.351,-0.001,0,55.5501,-165.964,3.04E-01,0.00513435,-0.0202866,0.0101681,0.0031873,0.0285303,-0.0156219,-0.0320802,0.0058718,-0.000450038,-0.00491597,0.0158062,0.00305365,-0.00220899,-0.0160912,-0.0106388
0.351,-0.001,0,53.7288,-172.875,3.06E-01,0.0192306,-0.0149771,-0.0102302,0.00729925,0.0135631,0.0269861,0.0119371,0.00308247,-0.0031844,-0.0022056,0.00595247,0.00624673,0.00187128,-0.0259472,-0.0104422
0.351,-0.001,0,53.1301,180,3.03E-01,-0.00274709,0.0160667,0.0174112,-0.00286217,0.0228966,0.0191254,0.0092255,0.00466465,0.0187646,-0.0427255,-0.0102326,0.00357328,-0.00626053,0.00237134,-0.0134386
0.351,-0.001,0,53.7288,172.875,3.06E-01,0.00642225,0.00945171,-0.00434969,-0.00028372,0.0246149,0.000250897,0.019196,0.00722514,-0.0334736,-0.00114687,0.0275871,-0.00175517,0.00396488,-0.0100352,-0.0114617
0.351,-0.001,0,55.5501,165.964,3.06E-01,0.00644624,0.00236441,0.00139328,-0.000807687,0.0240185,-0.00455085,0.00403246,-0.00479246,-0.0138729,-0.0266174,0.022654,0.0039557,-0.0127303,0.0038295,-0.00440845
0.351,-0.001,0,58.6936,159.444,3.00E-01,-0.00245761,0.0137741,0.0139035,-0.00227193,0.00569794,0.0171978,0.0135176,0.00183476,-0.0539315,0.00948019,0.00846009,-0.00546098,-0.0127119,0.00399639,0.0063272
0.351,-0.001,0,63.4349,153.435,2.95E-01,0.00506385,0.00939835,-0.000602498,0.005724,-0.00218373,0.0180226,0.021721,-0.0178616,-0.00619548,-0.0171024,0.0343369,-0.000221563,0.0141032,-0.00955627,0.00525899
0.351,-0.001,0,70.6303,147.995,2.82E-01,0.0103092,0.00964976,0.0163289,0.00238861,0.031286,0.0151693,0.0138686,-0.0305556,-0.0265194,-0.0148018,0.0475786,0.0126966,-0.00799997,0.00957248,-0.0252749
0.351,-0.001,0,81.8699,-135,2.54E-01,0.0739699,0.0333329,0.0302805,-0.0103512,0.0081315,-0.0813902,-0.0436772,0.0697624,0.0387887,-0.0754649,-0.0602432,-0.023114,-0.0223917,-0.0029799,-0.0125402
0.351,-0.001,0,67.2135,-139.399,2.93E-01,0.00167236,-0.0129057,-0.00748551,0.0117675,0.0432391,0.0162448,-0.0209957,0.00281008,0.0137006,-0.00829182,0.0358519,0.0185945,-0.016575,0.000552399,-0.0241643
0.351,-0.001,0,59.3427,-144.462,3.02E-01,0.004046,-0.01547,-0.00675568,0.0280044,0.00731497,-0.0228703,-0.0482402,0.00484093,-0.00235287,-0.0259545,0.000120163,0.0150632,-0.0143439,-0.0115454,-0.0212084
0.351,-0.001,0,53.7288,-150.255,3.08E-01,0.00478673,-0.00867859,-0.00861315,-0.00668111,-0.00104812,-0.0382058,0.00265267,0.0137951,0.00694103,-0.0362225,0.0058397,0.00119185,0.00424357,-3.56E-05,-0.0195323
