lambda,thetai,phi,thetar,phir,f_r11,f_r12/f_r11,f_r13/f_r11,f_r14/f_r11,f_r21/f_r11,f_r22/f_r11,f_r23/f_r11,f_r24/f_r11,f_r31/f_r11,f_r32/f_r11,f_r33/f_r11,f_r34/f_r11,f_r41/f_r11,f_r42/f_r11,f_r43/f_r11,f_r44/f_r11
0.532,39.76471842,-25.81760513,66.42507623,41.77096264,0.29269651,-0.02360565,0.000240541,-0.000871073,-0.041094592,0.056351471,0.029887854,-0.00178428,0.007179188,0.029850497,-0.015545189,-0.003144374,0.002693901,-0.009172964,0.015611919,-2.42E-05
0.532,66.51230852,100.0352359,54.22024321,169.3331624,0.288836557,0.015667314,-0.011279086,-0.009802505,-0.020787604,0.002446634,0.027992006,-0.006595392,-0.001293216,0.010712224,-0.013480199,-0.004388977,0.006819979,-0.018412914,-7.12E-05,0.016669155
0.532,10.5824109,-55.64819153,20.21039207,-1.242966563,0.333163455,0.010162415,-0.005595277,-0.005160663,0.005215131,0.048630772,-0.002905575,-0.005566899,-0.004725447,-0.002794972,-0.040497371,0.004669116,5.22E-05,-0.017681444,0.000154855,-0.01348355
0.532,24.29601763,-104.252942,8.842959511,134.1080717,0.326393049,0.005636951,0.002809659,-0.002394354,0.00159914,0.030893145,-0.001759234,0.003623935,-0.012478949,0.011234731,-0.033849087,-0.009126962,-0.00039903,-0.006090204,0.0151247,-0.018777121
0.532,33.7194711,-73.5252922,47.41760272,-44.02934268,0.303937257,0.020725703,-0.002340487,-0.006543388,0.006082604,0.04473006,0.024244861,-0.005960371,0.019602427,0.006081885,-0.057830872,0.010435348,-0.025769208,-0.00852846,0.002425028,-0.011585139
0.532,68.41259261,51.85324171,58.45115737,-9.604719223,0.287883917,-0.005036063,0.01384963,0.000524012,-0.021880619,0.02837908,-0.03479228,0.008633434,-0.004517026,-0.00906656,-0.021496896,-0.010933706,-0.000837578,0.015455098,0.017257209,0.00025452
0.532,60.08491476,104.9222158,39.92843915,-0.542801723,0.315313377,0.006785707,0.023915251,0.00770207,-0.011903611,-0.027317409,-0.031724464,0.019288391,-0.012998893,-0.018940743,-0.051972804,-0.002224739,-0.012479048,0.020847139,0.000326165,0.028915879
0.532,46.82156466,-157.4971692,56.26049324,28.33097947,0.343645284,0.023936542,-0.058173591,-0.02368756,0.024164726,0.0095455,-0.076426431,-0.061595167,0.030484976,0.104238157,-0.04058894,0.019590106,-0.009417894,-0.025244928,-0.054121183,0.047358166
0.532,71.10092437,-62.80508384,60.8399423,1.350700912,0.289086043,-0.005277238,-0.039938099,0.005917178,-0.034006697,0.022255866,0.073783638,-0.021301141,0.001423345,0.018157624,-0.039256997,-0.030845142,-0.001993884,-0.027205732,0.014158541,0.001167444
0.532,27.49561935,172.7810558,30.42534308,-119.8709727,0.317801754,-0.006836429,-0.016357977,0.004482025,0.004318856,0.043159977,0.007705845,0.001568299,0.007074736,0.014796076,-0.03749589,-0.018345592,0.008768028,0.004686139,0.013341613,-0.012815952
0.532,25.62372273,-88.15301452,13.86421797,-47.32307643,0.329971572,0.004134555,0.003077388,-0.011710812,-0.004537104,0.062029554,-0.004830235,-0.002749907,-0.00559572,0.012825119,-0.031736883,-0.001990237,0.002145431,-0.007825693,0.002385798,-0.016863235
0.532,45.75683782,76.38345587,35.65247962,-175.5902314,0.312333864,0.013928188,-0.020974389,-0.001131595,0.013172471,0.003315557,0.009123424,-0.016586457,0.014920567,-0.004687134,-0.016277743,0.007439476,-0.005916558,-0.031481593,0.007576583,0.005635837
0.532,16.87525994,48.97161895,24.30902855,-85.37952038,0.324909043,0.011280368,0.003993386,0.011355969,-0.015369246,0.019342899,-0.00426908,-0.002578054,-0.014123451,0.005079551,-0.03637291,-0.010320813,-0.010168723,-0.005031766,0.01276519,-0.019000771
0.532,49.8952956,5.697491095,34.98310728,74.53817249,0.308030212,0.004594047,0.016277349,-0.010898813,0.013576401,0.019535401,0.023213943,0.005299367,0.003280467,0.008757807,-0.020054162,-0.002416236,-0.000816612,-0.0040096,-0.0074075,-0.012137019
0.532,35.42193008,-177.3555765,63.93910368,146.0278473,0.28628406,-0.002820501,-0.006413525,-0.001189178,0.010569794,0.033009587,-0.019700995,-0.002868444,0.019100817,-0.013459894,-0.041724143,-0.003215609,0.015716401,0.013557673,-0.010341906,-0.010245507
0.532,58.18660202,-71.96634759,49.99238465,83.29609777,0.352898329,-0.033469602,-0.006415901,-0.006524414,-0.02726645,0.131731608,-0.03158637,0.048604455,-0.023638375,0.064806893,0.067409668,-0.060953985,-0.017675826,-0.003009987,0.080549217,0.075630203
0.532,14.57144025,126.8732125,69.76996654,164.6344466,0.283452312,0.015274128,0.031439505,-0.007189311,-0.02332769,0.001000579,0.011471589,0.017164654,-0.005709526,-0.023064416,-0.011067068,0.034661678,0.000955283,-0.014801103,0.0117667,0.023151648
0.532,47.61887769,-143.351738,21.74292056,-80.37721647,0.307295546,0.004393915,0.004292529,-0.000378259,0.008851545,0.014394314,8.97E-05,0.00721212,-0.00280059,0.00081061,-0.027490987,0.004720273,-0.004605303,-0.002295372,-0.002540333,-0.002424595
0.532,38.4340563,125.7791125,65.03990624,4.091933888,0.312213386,0.01822189,0.017905587,-0.000712504,0.013165867,0.046942211,0.045513672,0.020160615,-0.031033801,-0.04137068,-0.023879175,0.018455002,0.009988147,0.031391601,-0.010176115,0.031627572
0.532,36.08568406,49.60678834,30.4204147,-36.95642993,0.319154032,-0.002679372,0.007311653,-0.009416928,-0.004680993,0.018342635,0.003975841,-0.004815528,0.021097402,-0.014680555,-0.026258399,-0.015886923,0.010827943,0.010741006,0.015770219,-0.009954536
0.532,49.92457017,-128.4079094,34.76487869,54.68942482,0.332118604,-0.010114905,-0.021891659,-0.004519234,-0.006010542,-0.019900299,0.032449428,-0.03631032,0.032245689,-0.017445473,-0.065224129,-0.02747492,0.006563949,-0.043316108,0.003157858,0.035125932
0.532,47.37393729,-165.7433317,55.42296464,-52.34519243,0.316437445,0.006046144,0.034865615,0.006091998,0.025738653,0.022790792,0.069530842,0.00909272,-0.013568022,-0.025320036,-0.019356994,0.023583177,-0.003843465,0.036761463,0.001424163,0.029922747
0.532,62.013882,-169.5421256,45.99615987,99.41228889,0.301504917,-0.026603879,-0.011970834,-0.00749285,0.030787283,-0.018171818,-0.017151249,-0.004768403,0.008459128,-0.014022616,-0.038665,-0.001567136,0.005822366,-0.02335174,-0.003681311,0.000697983
