lambda,Sta_01,Sta_02,Sta_03,Sta_04,Sta_05,Sta_06,Sta_07,Sta_08,Sta_09,Sta_10
350,NA,NA,NA,NA,NA,NA,NA,0.58683,NA,NA
351,NA,NA,NA,NA,NA,NA,NA,0.59586,NA,NA
352,NA,NA,NA,NA,NA,NA,NA,0.60319,NA,NA
353,NA,NA,NA,NA,NA,NA,NA,0.60667,NA,NA
354,NA,NA,NA,NA,NA,NA,NA,0.60737,NA,NA
355,NA,NA,NA,NA,NA,NA,NA,0.60748,NA,NA
356,NA,NA,NA,NA,NA,NA,NA,0.608,NA,NA
357,NA,NA,NA,NA,NA,NA,NA,0.60963,NA,NA
358,NA,NA,NA,NA,NA,NA,NA,0.61311,NA,NA
359,NA,NA,NA,NA,NA,NA,NA,0.61887,NA,NA
360,NA,NA,NA,NA,NA,NA,NA,0.62847,NA,NA
361,NA,NA,NA,NA,NA,NA,NA,0.64638,NA,NA
362,NA,NA,NA,NA,NA,NA,NA,0.66834,NA,NA
363,NA,NA,NA,NA,NA,NA,NA,0.68914,NA,NA
364,NA,NA,NA,NA,NA,NA,NA,0.71138,NA,NA
365,NA,NA,NA,NA,NA,NA,NA,0.73299,NA,NA
366,NA,NA,NA,NA,NA,NA,NA,0.74828,NA,NA
367,NA,NA,NA,NA,NA,NA,NA,0.75734,NA,NA
368,NA,NA,NA,NA,NA,NA,NA,0.76471,NA,NA
369,NA,NA,NA,NA,NA,NA,NA,0.76885,NA,NA
370,NA,NA,NA,NA,NA,NA,NA,0.76795,NA,NA
371,NA,NA,NA,NA,NA,NA,NA,0.76254,NA,NA
372,NA,NA,NA,NA,NA,NA,NA,0.75714,NA,NA
373,NA,NA,NA,NA,NA,NA,NA,0.75629,NA,NA
374,NA,NA,NA,NA,NA,NA,NA,0.76075,NA,NA
375,NA,NA,NA,NA,NA,NA,NA,0.76653,NA,NA
376,NA,NA,NA,NA,NA,NA,NA,0.76915,NA,NA
377,NA,NA,NA,NA,NA,NA,NA,0.76795,NA,NA
378,NA,NA,NA,NA,NA,NA,NA,0.76522,NA,NA
379,NA,NA,NA,NA,NA,NA,NA,0.76192,NA,NA
380,NA,NA,NA,NA,NA,NA,NA,0.75423,NA,NA
381,NA,NA,NA,NA,NA,NA,NA,0.73834,NA,NA
382,NA,NA,NA,NA,NA,NA,NA,0.72471,NA,NA
383,NA,NA,NA,NA,NA,NA,NA,0.72212,NA,NA
384,NA,NA,NA,NA,NA,NA,NA,0.72274,NA,NA
385,NA,NA,NA,NA,NA,NA,NA,0.72376,NA,NA
386,NA,NA,NA,NA,NA,NA,NA,0.7247,NA,NA
387,NA,NA,NA,NA,NA,NA,NA,0.73423,NA,NA
388,NA,NA,NA,NA,NA,NA,NA,0.75012,NA,NA
389,NA,NA,NA,NA,NA,NA,NA,0.76328,NA,NA
390,NA,NA,NA,NA,NA,NA,NA,0.76932,NA,NA
391,NA,NA,NA,NA,NA,NA,NA,0.77348,NA,NA
392,NA,NA,NA,NA,NA,NA,NA,0.77884,NA,NA
393,NA,NA,NA,NA,NA,NA,NA,0.7894,NA,NA
394,NA,NA,NA,NA,NA,NA,NA,0.80939,NA,NA
395,NA,NA,NA,NA,NA,NA,NA,0.83677,NA,NA
396,NA,NA,NA,NA,NA,NA,NA,0.87049,NA,NA
397,NA,NA,NA,NA,NA,NA,NA,0.92388,NA,NA
398,NA,NA,NA,NA,NA,NA,NA,0.98828,NA,NA
399,NA,NA,NA,NA,NA,NA,NA,1.04781,NA,NA
400,NA,NA,NA,NA,NA,NA,NA,1.10233,NA,NA
