lambda,Sta_01,Sta_02,Sta_03,Sta_04,Sta_05,Sta_06,Sta_07,Sta_08,Sta_09,Sta_10
350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
354,0.29488,0.54183,0.4866,0.53878,0.54704,0.53938,0.49746,0.59145,0.32833,0.3432
355,0.29739,0.54714,0.49156,0.54409,0.55244,0.545,0.50241,0.59749,0.33103,0.34652
356,0.30048,0.55331,0.49735,0.55036,0.55875,0.55156,0.50821,0.60453,0.33426,0.35043
357,0.30414,0.56062,0.50412,0.5577,0.56619,0.5592,0.515,0.61275,0.33814,0.35503
358,0.30831,0.56898,0.51183,0.56596,0.57462,0.56777,0.52265,0.62203,0.3426,0.36025
359,0.31308,0.57841,0.5206,0.57532,0.58417,0.57746,0.53136,0.63252,0.34771,0.36616
360,0.31841,0.58888,0.53032,0.58569,0.59481,0.58823,0.54103,0.64413,0.35344,0.37272
361,0.32425,0.60025,0.54081,0.59691,0.60631,0.59987,0.55151,0.65665,0.35971,0.37981
362,0.33029,0.61204,0.5516,0.60852,0.61815,0.61189,0.56236,0.66951,0.36621,0.38711
363,0.33614,0.62347,0.56204,0.61972,0.62965,0.62355,0.57286,0.68199,0.37247,0.39419
364,0.34186,0.63462,0.57224,0.63068,0.64088,0.63497,0.58317,0.69416,0.37861,0.40112
365,0.34732,0.64528,0.58199,0.64116,0.65162,0.64592,0.59303,0.70573,0.38444,0.40772
366,0.35217,0.65496,0.59079,0.6506,0.66135,0.65587,0.60194,0.7162,0.38963,0.41365
367,0.35621,0.66308,0.59824,0.65856,0.66954,0.66433,0.60951,0.72503,0.39392,0.41863
368,0.35941,0.66954,0.60421,0.66493,0.67609,0.6712,0.61561,0.7321,0.39724,0.42259
369,0.36187,0.67471,0.6089,0.67,0.68128,0.67675,0.62044,0.73771,0.39974,0.42571
370,0.36376,0.67877,0.61256,0.67404,0.68533,0.6812,0.62428,0.7421,0.40154,0.4281
371,0.36505,0.68173,0.6153,0.67704,0.68834,0.68462,0.62713,0.7453,0.40271,0.42982
372,0.36592,0.68387,0.61733,0.67925,0.69054,0.68725,0.62925,0.74762,0.4034,0.43107
373,0.3666,0.68564,0.61901,0.6811,0.69231,0.6895,0.63105,0.74953,0.40386,0.43206
374,0.36699,0.68686,0.6202,0.68237,0.69351,0.69122,0.63232,0.75085,0.40394,0.43268
375,0.36701,0.68735,0.62071,0.68293,0.69401,0.69223,0.63295,0.75139,0.40364,0.43284
376,0.36664,0.6871,0.62055,0.6828,0.69378,0.69253,0.63293,0.75116,0.40295,0.43257
377,0.36594,0.68615,0.61975,0.68201,0.69287,0.69215,0.63227,0.7502,0.40186,0.43189
378,0.36496,0.6847,0.61845,0.68073,0.69142,0.69124,0.63112,0.74868,0.40049,0.4309
379,0.36381,0.68296,0.61688,0.67915,0.68967,0.69003,0.62971,0.74688,0.39898,0.42975
380,0.36258,0.68103,0.61519,0.67741,0.68775,0.68867,0.62817,0.74494,0.39741,0.42851
381,0.36151,0.67935,0.61371,0.67596,0.68603,0.68755,0.62685,0.74329,0.39597,0.42744
382,0.36081,0.67843,0.61291,0.67524,0.68506,0.68716,0.62623,0.74246,0.39496,0.42684
383,0.36067,0.67857,0.61311,0.6756,0.68518,0.68788,0.62658,0.74281,0.3946,0.42694
384,0.3611,0.67979,0.61427,0.67705,0.68641,0.68971,0.62793,0.74433,0.39489,0.42774
385,0.3622,0.68222,0.61656,0.6797,0.68883,0.69276,0.6304,0.74719,0.39585,0.42929
386,0.36401,0.68588,0.61995,0.68358,0.69251,0.69705,0.63401,0.75143,0.39752,0.43164
387,0.3667,0.69122,0.62488,0.68914,0.69791,0.70303,0.63919,0.75753,0.40019,0.43504
388,0.37032,0.69843,0.63152,0.69657,0.70519,0.71093,0.6461,0.7657,0.40395,0.43961
389,0.37488,0.70749,0.63983,0.70581,0.71433,0.72072,0.65472,0.7759,0.40878,0.44537
390,0.38065,0.71881,0.65018,0.71733,0.72576,0.73282,0.66542,0.78861,0.41492,0.45255
391,0.38789,0.7329,0.66303,0.73159,0.73998,0.74772,0.67865,0.80437,0.42262,0.46149
392,0.39675,0.75013,0.67877,0.74896,0.75736,0.76586,0.69476,0.82358,0.43209,0.47241
393,0.40744,0.77081,0.69761,0.76975,0.7782,0.78747,0.71403,0.84654,0.44351,0.48542
394,0.42015,0.7953,0.71991,0.79432,0.80287,0.81294,0.73684,0.87367,0.45706,0.50081
395,0.43489,0.82376,0.74581,0.82284,0.83155,0.84248,0.76331,0.90515,0.47285,0.51868
396,0.45157,0.85608,0.77521,0.85518,0.86411,0.87598,0.79334,0.94079,0.49082,0.53894
397,0.46979,0.89136,0.80728,0.89038,0.89964,0.91245,0.82606,0.97955,0.51038,0.56103
398,0.48882,0.92815,0.84077,0.92708,0.93673,0.95053,0.86023,1.01997,0.53076,0.58405
399,0.50803,0.96523,0.87457,0.96412,0.97417,0.98899,0.89472,1.06074,0.55129,0.60723
400,0.52667,1.00136,0.90745,1.00017,1.01065,1.02648,0.92832,1.10042,0.57124,0.62981
401,0.54409,1.03522,0.93824,1.03394,1.04484,1.0617,0.95986,1.13757,0.58991,0.65094
402,0.55976,1.06567,0.96593,1.06436,1.07564,1.0935,0.9883,1.17107,0.60666,0.66995
403,0.57333,1.09207,0.98999,1.09083,1.1024,1.12124,1.01305,1.20022,0.6211,0.68647
404,0.5847,1.11438,1.01035,1.11328,1.12504,1.14483,1.03404,1.22488,0.63322,0.70043
405,0.59406,1.13282,1.02717,1.13184,1.14374,1.16448,1.05141,1.24527,0.64309,0.71196
406,0.60164,1.14785,1.0409,1.147,1.15897,1.18065,1.06562,1.26195,0.65099,0.72136
407,0.60767,1.15997,1.05198,1.1593,1.17127,1.19389,1.07717,1.27551,0.65725,0.72894
408,0.61258,1.17,1.06115,1.16955,1.18144,1.20496,1.08677,1.28675,0.66232,0.73523
409,0.61679,1.17872,1.0691,1.17847,1.19024,1.21463,1.0951,1.29652,0.6666,0.74067
410,0.62061,1.18659,1.07634,1.18655,1.19819,1.22344,1.10267,1.30538,0.67041,0.74559
411,0.62422,1.19399,1.08318,1.19416,1.20566,1.23179,1.10981,1.31377,0.67394,0.75022
412,0.62764,1.20116,1.08978,1.20154,1.2129,1.23989,1.11674,1.32183,0.67733,0.75467
413,0.63068,1.2077,1.09576,1.20824,1.21946,1.24733,1.12306,1.32915,0.68033,0.75872
414,0.63318,1.21316,1.10075,1.21382,1.22493,1.25366,1.12837,1.33531,0.6827,0.76209
415,0.63507,1.21742,1.10469,1.21825,1.22922,1.25878,1.1326,1.34016,0.68444,0.7647
416,0.6363,1.22043,1.10748,1.22146,1.23226,1.2626,1.13566,1.34364,0.68549,0.76653
417,0.63683,1.22205,1.109,1.22327,1.23388,1.26498,1.13744,1.34558,0.68575,0.76749
418,0.63666,1.22228,1.10927,1.22366,1.23409,1.26593,1.13791,1.34596,0.68523,0.76756
419,0.6357,1.22094,1.10813,1.22247,1.23269,1.26524,1.1369,1.34459,0.68384,0.76665
420,0.63376,1.21772,1.10526,1.21941,1.2294,1.26261,1.13416,1.34114,0.68141,0.76456
421,0.63089,1.21276,1.10079,1.21461,1.22438,1.25816,1.1298,1.33584,0.67802,0.76139
422,0.62729,1.20633,1.09503,1.20836,1.21791,1.25221,1.12409,1.32901,0.67386,0.75736
423,0.62323,1.19902,1.08848,1.20123,1.21056,1.24535,1.11756,1.3212,0.66923,0.75277
424,0.61901,1.19139,1.08161,1.19374,1.20286,1.2381,1.11069,1.31302,0.66444,0.74798
425,0.61491,1.18403,1.07497,1.18654,1.19542,1.23111,1.10405,1.30516,0.6598,0.74338
426,0.61132,1.17763,1.06926,1.18033,1.18896,1.22513,1.09834,1.29844,0.65571,0.73942
427,0.60878,1.17329,1.06543,1.17616,1.18455,1.22127,1.09449,1.29397,0.65274,0.73672
428,0.60769,1.17174,1.06415,1.17478,1.18296,1.22028,1.09324,1.29257,0.65133,0.73578
429,0.60832,1.17355,1.06592,1.17677,1.18476,1.2228,1.09514,1.2949,0.65178,0.73693
430,0.61093,1.17931,1.0713,1.18271,1.19053,1.22942,1.10068,1.30159,0.65441,0.74056
431,0.61555,1.18894,1.08018,1.19247,1.20019,1.24002,1.10979,1.31248,0.65915,0.74656
432,0.62194,1.20194,1.09211,1.20559,1.21325,1.25413,1.12207,1.32704,0.66574,0.75464
433,0.62976,1.21779,1.10662,1.2216,1.22922,1.27121,1.13699,1.34475,0.67389,0.7645
434,0.63874,1.23587,1.12317,1.23988,1.24749,1.29068,1.15402,1.36494,0.68327,0.77575
435,0.64855,1.25559,1.14117,1.25977,1.26737,1.31186,1.17256,1.38687,0.69349,0.78798
436,0.6588,1.27619,1.15996,1.2805,1.28814,1.33396,1.19194,1.40973,0.70417,0.80075
437,0.66909,1.29689,1.17886,1.3014,1.30909,1.35623,1.21148,1.43276,0.71495,0.81359
438,0.67926,1.31744,1.19758,1.32219,1.3299,1.37839,1.23088,1.45567,0.72564,0.82635
439,0.68927,1.33768,1.216,1.34266,1.35042,1.40027,1.24999,1.47826,0.73613,0.83891
440,0.69909,1.35744,1.23401,1.36266,1.37048,1.42168,1.2687,1.50034,0.74635,0.85116
441,0.7086,1.37669,1.25155,1.38218,1.39,1.44258,1.28691,1.52187,0.75625,0.86311
442,0.71792,1.39559,1.26875,1.40129,1.40908,1.46308,1.30476,1.54294,0.76595,0.87483
443,0.72713,1.41422,1.28575,1.42011,1.42788,1.4833,1.32236,1.5637,0.77551,0.88637
444,0.73623,1.43258,1.30253,1.43864,1.44639,1.50325,1.33971,1.58418,0.78492,0.89778
445,0.74511,1.45049,1.31892,1.45673,1.46445,1.52275,1.35667,1.60419,0.79413,0.90891
446,0.75367,1.46769,1.33464,1.4741,1.48181,1.54153,1.37298,1.62341,0.80296,0.91961
447,0.76167,1.48375,1.34928,1.49027,1.49797,1.55909,1.38821,1.64132,0.81114,0.9296
448,0.76877,1.49812,1.36238,1.50472,1.51239,1.57486,1.40184,1.65734,0.8184,0.93852
449,0.77483,1.51047,1.37363,1.51715,1.52477,1.58852,1.4136,1.67114,0.82456,0.94619
450,0.77989,1.52087,1.38308,1.52764,1.53516,1.60013,1.42352,1.68275,0.82968,0.95264
451,0.78414,1.52962,1.39104,1.5365,1.5439,1.61002,1.43192,1.69255,0.83393,0.95808
452,0.78774,1.53712,1.39786,1.54412,1.55139,1.61862,1.43915,1.70102,0.83748,0.96277
453,0.79089,1.54375,1.40387,1.55089,1.55801,1.62632,1.44556,1.70851,0.84055,0.96689
454,0.79369,1.54972,1.40926,1.55699,1.56394,1.6333,1.45134,1.71524,0.84323,0.97058
455,0.79614,1.55502,1.41404,1.56242,1.56921,1.63959,1.45649,1.72122,0.84554,0.97385
456,0.79816,1.55952,1.41811,1.56706,1.57367,1.64505,1.46089,1.72634,0.84744,0.97662
457,0.79985,1.56338,1.4216,1.57106,1.57748,1.64984,1.46468,1.73073,0.84897,0.97899
458,0.80134,1.56681,1.42469,1.57464,1.58086,1.65418,1.46809,1.73462,0.85027,0.98109
459,0.80266,1.56988,1.42743,1.57784,1.58389,1.65813,1.47116,1.73813,0.85138,0.98295
460,0.80367,1.57236,1.42964,1.58045,1.58634,1.66148,1.4737,1.74096,0.85215,0.98444
461,0.80414,1.57381,1.43093,1.58204,1.58778,1.66377,1.4753,1.74263,0.85237,0.98528
462,0.80394,1.57393,1.431,1.58232,1.58794,1.66471,1.47571,1.74287,0.8519,0.98531
463,0.8031,1.57282,1.42996,1.58139,1.58686,1.66434,1.475,1.7418,0.85077,0.98457
464,0.80181,1.5709,1.42817,1.57965,1.58496,1.66309,1.47352,1.73983,0.84919,0.98332
465,0.80034,1.56865,1.42606,1.57758,1.58274,1.66148,1.47172,1.73748,0.84742,0.98186
466,0.79897,1.56658,1.42414,1.57572,1.58074,1.66008,1.47007,1.73535,0.84573,0.98049
467,0.79784,1.56504,1.42272,1.57438,1.57927,1.65922,1.46891,1.73383,0.84431,0.97941
468,0.79705,1.56419,1.42195,1.57372,1.5785,1.65908,1.46836,1.73308,0.84326,0.97874
469,0.7967,1.56425,1.42199,1.57396,1.57862,1.65988,1.46863,1.73333,0.84266,0.97861
470,0.79693,1.56548,1.42308,1.57535,1.5799,1.66189,1.46996,1.73487,0.84267,0.97919
471,0.7978,1.56802,1.42538,1.57803,1.58245,1.66524,1.47246,1.73788,0.84337,0.98055
472,0.79934,1.57189,1.42889,1.58201,1.5863,1.66995,1.47616,1.74234,0.84476,0.98271
473,0.80143,1.57677,1.43328,1.58697,1.59114,1.6757,1.48077,1.74787,0.84671,0.9855
474,0.8038,1.5821,1.43812,1.5924,1.59645,1.68197,1.48583,1.75394,0.84897,0.98863
475,0.80627,1.58758,1.44312,1.59796,1.60187,1.68837,1.49102,1.76018,0.85134,0.9919
476,0.80847,1.59241,1.44751,1.60284,1.60659,1.69406,1.49561,1.76565,0.8534,0.99481
477,0.80985,1.59548,1.45026,1.60596,1.60954,1.6979,1.49858,1.76912,0.85458,0.99668
478,0.80985,1.59575,1.45044,1.6063,1.6097,1.69879,1.49899,1.76953,0.85436,0.99691
479,0.80827,1.59281,1.44774,1.60346,1.60667,1.69634,1.49646,1.76643,0.8525,0.99523
480,0.8051,1.58662,1.44212,1.5974,1.60039,1.69047,1.49094,1.75977,0.84896,0.99159
481,0.80063,1.57771,1.43405,1.58864,1.59139,1.68171,1.48289,1.7501,0.84404,0.98631
482,0.7953,1.56708,1.42443,1.57818,1.58066,1.67114,1.47323,1.73858,0.83823,0.98
483,0.78959,1.55576,1.41421,1.56707,1.56926,1.65983,1.46293,1.72631,0.83205,0.97329
484,0.78406,1.54488,1.40441,1.5564,1.55827,1.64895,1.45302,1.71452,0.82607,0.96681
485,0.77922,1.5353,1.39578,1.54703,1.54859,1.63946,1.44431,1.70416,0.82076,0.96112
486,0.77525,1.52759,1.38884,1.53955,1.54082,1.63195,1.43736,1.69588,0.81644,0.95657
487,0.7724,1.52226,1.38404,1.53444,1.53541,1.62692,1.4326,1.69023,0.81333,0.95345
488,0.771,1.51976,1.38182,1.53213,1.53282,1.62486,1.43043,1.68767,0.81168,0.952
489,0.77108,1.52014,1.38225,1.53268,1.53313,1.62586,1.43094,1.68831,0.81155,0.95234
490,0.77253,1.52336,1.3852,1.53603,1.53628,1.62983,1.43407,1.69207,0.81289,0.95442
491,0.77509,1.52886,1.39018,1.54163,1.54171,1.63621,1.43932,1.69829,0.81541,0.95786
492,0.77812,1.53525,1.39598,1.5481,1.54809,1.64357,1.44546,1.70546,0.8184,0.96184
493,0.78076,1.54086,1.40101,1.55376,1.55367,1.6501,1.45086,1.71174,0.82096,0.96531
494,0.78231,1.54432,1.40405,1.55725,1.55714,1.65437,1.45426,1.71561,0.82238,0.96741
495,0.78226,1.54471,1.4043,1.55771,1.5576,1.65539,1.45483,1.71611,0.82217,0.9676
496,0.78073,1.54229,1.40201,1.55542,1.55529,1.65347,1.45279,1.71357,0.82045,0.96602
497,0.77828,1.53813,1.39817,1.55147,1.55133,1.64973,1.44916,1.70919,0.81777,0.96334
498,0.77545,1.53338,1.39381,1.54703,1.54686,1.6454,1.44498,1.70416,0.81475,0.96027
499,0.77256,1.52875,1.38953,1.54278,1.54254,1.6412,1.44092,1.69921,0.81174,0.95722
500,0.76987,1.52455,1.38566,1.53902,1.5387,1.63748,1.43726,1.69474,0.80893,0.95441
501,0.76747,1.5209,1.38233,1.53581,1.53543,1.63436,1.43413,1.69092,0.80643,0.95196
502,0.76549,1.51807,1.3797,1.53337,1.5329,1.63205,1.4317,1.68797,0.80436,0.95003
503,0.76425,1.51651,1.37827,1.53215,1.53157,1.63103,1.43043,1.68642,0.80301,0.94891
504,0.76372,1.51626,1.37803,1.53215,1.53144,1.63131,1.43035,1.6863,0.80239,0.94865
505,0.76385,1.51717,1.37884,1.5332,1.53234,1.63276,1.4313,1.68747,0.80244,0.94915
506,0.76451,1.51887,1.38035,1.53489,1.5339,1.63494,1.43292,1.68943,0.80296,0.9502
507,0.76525,1.52054,1.38181,1.53641,1.53528,1.63701,1.43446,1.6913,0.80354,0.95128
508,0.76547,1.5209,1.38208,1.53649,1.5352,1.63762,1.43472,1.69167,0.80349,0.95158
509,0.76453,1.51868,1.37999,1.53389,1.53245,1.63541,1.43255,1.68918,0.80215,0.95032
510,0.76196,1.51306,1.37479,1.5278,1.52625,1.62952,1.4272,1.68292,0.79908,0.947
511,0.75783,1.50437,1.36678,1.5186,1.51692,1.6203,1.41894,1.67325,0.79441,0.94176
512,0.75259,1.49355,1.35686,1.5073,1.50547,1.6088,1.40868,1.66123,0.78862,0.93521
513,0.74686,1.48184,1.34615,1.49517,1.4932,1.59639,1.39761,1.64828,0.78236,0.92812
514,0.74137,1.47066,1.33599,1.48367,1.48156,1.58464,1.38705,1.63601,0.77639,0.92138
515,0.73692,1.4616,1.32777,1.47438,1.47211,1.57518,1.37848,1.6261,0.77149,0.91594
516,0.73386,1.45543,1.32216,1.46806,1.46562,1.56884,1.37263,1.6194,0.76807,0.91225
517,0.73215,1.45207,1.31908,1.46461,1.46206,1.56558,1.36946,1.61582,0.76608,0.91029
518,0.7316,1.45107,1.31817,1.46359,1.46096,1.56489,1.36854,1.6149,0.76532,0.9098
519,0.73205,1.45213,1.31914,1.46467,1.46196,1.56642,1.36956,1.61631,0.76563,0.91057
520,0.73354,1.45538,1.32208,1.46794,1.46513,1.57028,1.37258,1.62016,0.76709,0.91268
521,0.73612,1.46079,1.32694,1.47333,1.47046,1.57641,1.3776,1.62638,0.76965,0.91612
522,0.73947,1.46774,1.33318,1.4803,1.47734,1.5842,1.38407,1.63435,0.77303,0.9205
523,0.74333,1.47574,1.34036,1.48832,1.48528,1.59311,1.3915,1.64353,0.77694,0.92552
524,0.74751,1.48437,1.34806,1.49694,1.49381,1.60263,1.39947,1.65334,0.78115,0.93089
525,0.75151,1.49273,1.35546,1.50522,1.50201,1.61182,1.40715,1.66279,0.78519,0.93605
526,0.75462,1.49931,1.36125,1.5117,1.50844,1.61914,1.41318,1.67027,0.78831,0.9401
527,0.75661,1.5036,1.36498,1.51587,1.51256,1.624,1.41706,1.67525,0.79024,0.94274
528,0.75781,1.50638,1.36732,1.51851,1.5151,1.62719,1.4195,1.67854,0.7914,0.94443
529,0.75883,1.50879,1.36937,1.52082,1.51728,1.62998,1.42161,1.68142,0.79237,0.94593
530,0.76012,1.51172,1.37193,1.52368,1.51999,1.63336,1.42422,1.68485,0.79362,0.94778
531,0.76166,1.51509,1.37494,1.52704,1.52319,1.63728,1.4273,1.68879,0.79511,0.94992
532,0.76314,1.51834,1.37786,1.53029,1.52633,1.64111,1.43031,1.69252,0.79652,0.95198
533,0.76377,1.51991,1.37927,1.53191,1.52786,1.6432,1.43184,1.69435,0.79704,0.95299
534,0.76309,1.51899,1.37839,1.53107,1.52696,1.64266,1.4311,1.69341,0.79625,0.95242
535,0.76105,1.5154,1.37513,1.52766,1.52351,1.63935,1.42793,1.68957,0.79409,0.95021
536,0.75828,1.5104,1.37063,1.52293,1.51871,1.63453,1.42347,1.6842,0.79118,0.94713
537,0.75552,1.50545,1.36623,1.5183,1.51399,1.62975,1.41904,1.67891,0.78828,0.94407
