lambda,Sta_01,Sta_02,Sta_03,Sta_04,Sta_05,Sta_06,Sta_07,Sta_08,Sta_09,Sta_10
350,NA,NA,NA,NA,NA,NA,NA,0.54278,NA,0.35689
351,NA,NA,NA,NA,NA,NA,NA,0.55207,NA,0.36268
352,NA,NA,NA,NA,NA,NA,NA,0.55953,NA,0.36731
353,NA,NA,NA,NA,NA,NA,NA,0.56244,NA,0.3692
354,NA,NA,NA,NA,NA,NA,NA,0.56226,NA,0.36908
355,NA,NA,NA,NA,NA,NA,NA,0.56163,NA,0.36859
356,NA,NA,NA,NA,NA,NA,NA,0.56141,NA,0.36831
357,NA,NA,NA,NA,NA,NA,NA,0.56265,NA,0.36902
358,NA,NA,NA,NA,NA,NA,NA,0.56626,NA,0.37127
359,NA,NA,NA,NA,NA,NA,NA,0.57203,NA,0.37485
360,NA,NA,NA,NA,NA,NA,NA,0.58073,NA,0.38024
361,NA,NA,NA,NA,NA,NA,NA,0.59713,NA,0.39063
362,NA,NA,NA,NA,NA,NA,NA,0.61733,NA,0.40353
363,NA,NA,NA,NA,NA,NA,NA,0.63644,NA,0.41586
364,NA,NA,NA,NA,NA,NA,NA,0.65702,NA,0.42954
365,NA,NA,NA,NA,NA,NA,NA,0.67707,NA,0.44304
366,NA,NA,NA,NA,NA,NA,NA,0.69084,NA,0.45231
367,NA,NA,NA,NA,NA,NA,NA,0.69866,NA,0.45729
368,NA,NA,NA,NA,NA,NA,NA,0.70532,NA,0.46119
369,NA,NA,NA,NA,NA,NA,NA,0.70919,NA,0.46327
370,NA,NA,NA,NA,NA,NA,NA,0.70831,NA,0.46257
371,NA,NA,NA,NA,NA,NA,NA,0.70304,NA,0.45919
372,NA,NA,NA,NA,NA,NA,NA,0.69779,NA,0.45579
373,NA,NA,NA,NA,NA,NA,NA,0.69685,NA,0.45514
374,NA,NA,NA,NA,NA,NA,NA,0.70082,NA,0.4572
375,NA,NA,NA,NA,NA,NA,NA,0.70597,NA,0.45984
376,NA,NA,NA,NA,NA,NA,NA,0.70834,NA,0.46104
377,NA,NA,NA,NA,NA,NA,NA,0.70757,NA,0.46052
378,NA,NA,NA,NA,NA,NA,NA,0.70563,NA,0.45917
379,NA,NA,NA,NA,NA,NA,NA,0.7027,NA,0.4571
380,NA,NA,NA,NA,NA,NA,NA,0.69521,NA,0.45209
381,NA,NA,NA,NA,NA,NA,NA,0.68004,NA,0.44237
382,NA,NA,NA,NA,NA,NA,NA,0.66706,NA,0.43408
383,NA,NA,NA,NA,NA,NA,NA,0.66415,NA,0.43215
384,NA,NA,NA,NA,NA,NA,NA,0.66354,NA,0.43178
385,NA,NA,NA,NA,NA,NA,NA,0.66325,NA,0.43168
386,NA,NA,NA,NA,NA,NA,NA,0.66374,NA,0.43201
387,NA,NA,NA,NA,NA,NA,NA,0.67311,NA,0.43816
388,NA,NA,NA,NA,NA,NA,NA,0.68855,NA,0.44825
389,NA,NA,NA,NA,NA,NA,NA,0.70079,NA,0.45625
390,NA,NA,NA,NA,NA,NA,NA,0.7056,NA,0.45951
391,NA,NA,NA,NA,NA,NA,NA,0.70846,NA,0.46157
392,NA,NA,NA,NA,NA,NA,NA,0.71237,NA,0.46424
393,NA,NA,NA,NA,NA,NA,NA,0.72135,NA,0.46995
394,NA,NA,NA,NA,NA,NA,NA,0.73989,NA,0.4816
395,NA,NA,NA,NA,NA,NA,NA,0.76554,NA,0.49779
396,NA,NA,NA,NA,NA,NA,NA,0.79658,NA,0.51768
397,NA,NA,NA,NA,NA,NA,NA,0.84512,NA,0.5491
398,NA,NA,NA,NA,NA,NA,NA,0.90363,NA,0.58703
399,NA,NA,NA,NA,NA,NA,NA,0.95769,NA,0.6221
400,NA,NA,NA,NA,NA,NA,NA,1.00807,NA,0.65485
401,NA,NA,NA,NA,NA,NA,NA,1.0568,NA,0.68658
402,NA,NA,NA,NA,NA,NA,NA,1.09341,NA,0.71038
403,NA,NA,NA,NA,NA,NA,NA,1.11318,NA,0.72316
404,NA,NA,NA,NA,NA,NA,NA,1.12714,NA,0.7322
405,NA,NA,NA,NA,NA,NA,NA,1.13812,NA,0.73925
406,NA,NA,NA,NA,NA,NA,NA,1.14801,NA,0.74542
407,NA,NA,NA,NA,NA,NA,NA,1.15596,NA,0.75023
408,NA,NA,NA,NA,NA,NA,NA,1.16327,NA,0.7546
409,NA,NA,NA,NA,NA,NA,NA,1.17191,NA,0.75989
410,NA,NA,NA,NA,NA,NA,NA,1.18364,NA,0.76727
411,NA,NA,NA,NA,NA,NA,NA,1.19629,NA,0.77528
412,NA,NA,NA,NA,NA,NA,NA,1.20653,NA,0.78177
413,NA,NA,NA,NA,NA,NA,NA,1.21323,NA,0.78622
414,NA,NA,NA,NA,NA,NA,NA,1.21864,NA,0.79011
415,NA,NA,NA,NA,NA,NA,NA,1.22196,NA,0.79243
416,NA,NA,NA,NA,NA,NA,NA,1.22279,NA,0.79268
417,NA,NA,NA,NA,NA,NA,NA,1.22316,NA,0.79233
418,NA,NA,NA,NA,NA,NA,NA,1.22331,NA,0.79186
419,NA,NA,NA,NA,NA,NA,NA,1.22303,NA,0.79143
420,NA,NA,NA,NA,NA,NA,NA,1.22065,NA,0.79004
421,NA,NA,NA,NA,NA,NA,NA,1.21641,NA,0.78758
422,NA,NA,NA,NA,NA,NA,NA,1.2113,NA,0.78445
423,NA,NA,NA,NA,NA,NA,NA,1.20337,NA,0.77923
424,NA,NA,NA,NA,NA,NA,NA,1.19146,NA,0.77123
425,NA,NA,NA,NA,NA,NA,NA,1.17881,NA,0.76274
426,NA,NA,NA,NA,NA,NA,NA,1.16645,NA,0.75462
427,NA,NA,NA,NA,NA,NA,NA,1.15169,NA,0.74513
428,NA,NA,NA,NA,NA,NA,NA,1.14027,NA,0.7378
429,NA,NA,NA,NA,NA,NA,NA,1.13803,NA,0.73633
430,NA,NA,NA,NA,NA,NA,NA,1.14329,NA,0.73952
431,NA,NA,NA,NA,NA,NA,NA,1.15274,NA,0.74534
432,NA,NA,NA,NA,NA,NA,NA,1.16404,NA,0.75244
433,NA,NA,NA,NA,NA,NA,NA,1.18103,NA,0.76331
434,NA,NA,NA,NA,NA,NA,NA,1.20414,NA,0.77817
435,NA,NA,NA,NA,NA,NA,NA,1.22768,NA,0.79334
436,NA,NA,NA,NA,NA,NA,NA,1.24829,NA,0.80667
437,NA,NA,NA,NA,NA,NA,NA,1.26846,NA,0.81978
438,NA,NA,NA,NA,NA,NA,NA,1.28786,NA,0.83237
439,NA,NA,NA,NA,NA,NA,NA,1.30595,NA,0.84399
440,NA,NA,NA,NA,NA,NA,NA,1.32244,NA,0.85451
441,NA,NA,NA,NA,NA,NA,NA,1.33857,NA,0.86476
442,NA,NA,NA,NA,NA,NA,NA,1.35582,NA,0.8757
443,NA,NA,NA,NA,NA,NA,NA,1.37524,NA,0.88799
444,NA,NA,NA,NA,NA,NA,NA,1.39536,NA,0.90074
445,NA,NA,NA,NA,NA,NA,NA,1.41411,NA,0.91268
446,NA,NA,NA,NA,NA,NA,NA,1.43083,NA,0.92345
447,NA,NA,NA,NA,NA,NA,NA,1.44663,NA,0.93369
448,NA,NA,NA,NA,NA,NA,NA,1.46051,NA,0.94269
449,NA,NA,NA,NA,NA,NA,NA,1.47206,NA,0.95004
450,NA,NA,NA,NA,NA,NA,NA,1.48277,NA,0.95671
451,NA,NA,NA,NA,NA,NA,NA,1.49147,NA,0.96211
452,NA,NA,NA,NA,NA,NA,NA,1.49664,NA,0.96544
453,NA,NA,NA,NA,NA,NA,NA,1.49932,NA,0.96733
454,NA,NA,NA,NA,NA,NA,NA,1.50127,NA,0.96878
455,NA,NA,NA,NA,NA,NA,NA,1.50372,NA,0.97046
456,NA,NA,NA,NA,NA,NA,NA,1.50806,NA,0.97305
457,NA,NA,NA,NA,NA,NA,NA,1.51366,NA,0.97617
458,NA,NA,NA,NA,NA,NA,NA,1.51843,NA,0.97881
459,NA,NA,NA,NA,NA,NA,NA,1.52111,NA,0.98037
460,NA,NA,NA,NA,NA,NA,NA,1.52342,NA,0.98179
461,NA,NA,NA,NA,NA,NA,NA,1.52501,NA,0.9828
462,NA,NA,NA,NA,NA,NA,NA,1.52523,NA,0.98294
463,NA,NA,NA,NA,NA,NA,NA,1.52313,NA,0.98163
464,NA,NA,NA,NA,NA,NA,NA,1.5197,NA,0.97944
465,NA,NA,NA,NA,NA,NA,NA,1.51636,NA,0.9772
466,NA,NA,NA,NA,NA,NA,NA,1.51262,NA,0.97444
467,NA,NA,NA,NA,NA,NA,NA,1.50849,NA,0.97134
468,NA,NA,NA,NA,NA,NA,NA,1.50594,NA,0.96941
469,NA,NA,NA,NA,NA,NA,NA,1.50619,NA,0.96952
470,NA,NA,NA,NA,NA,NA,NA,1.50791,NA,0.9704
471,NA,NA,NA,NA,NA,NA,NA,1.51045,NA,0.97172
472,NA,NA,NA,NA,NA,NA,NA,1.51355,NA,0.97338
473,NA,NA,NA,NA,NA,NA,NA,1.51863,NA,0.97638
474,NA,NA,NA,NA,NA,NA,NA,1.52466,NA,0.98003
475,NA,NA,NA,NA,NA,NA,NA,1.53003,NA,0.98327
476,NA,NA,NA,NA,NA,NA,NA,1.53562,NA,0.9866
477,NA,NA,NA,NA,NA,NA,NA,1.54099,NA,0.98982
478,NA,NA,NA,NA,NA,NA,NA,1.54394,NA,0.99159
479,NA,NA,NA,NA,NA,NA,NA,1.54216,NA,0.99055
480,NA,NA,NA,NA,NA,NA,NA,1.53582,NA,0.98686
481,NA,NA,NA,NA,NA,NA,NA,1.52723,NA,0.98178
482,NA,NA,NA,NA,NA,NA,NA,1.51749,NA,0.97582
483,NA,NA,NA,NA,NA,NA,NA,1.50274,NA,0.96648
484,NA,NA,NA,NA,NA,NA,NA,1.48712,NA,0.95656
485,NA,NA,NA,NA,NA,NA,NA,1.47604,NA,0.94956
486,NA,NA,NA,NA,NA,NA,NA,1.46752,NA,0.94421
487,NA,NA,NA,NA,NA,NA,NA,1.46062,NA,0.93991
488,NA,NA,NA,NA,NA,NA,NA,1.45741,NA,0.93791
489,NA,NA,NA,NA,NA,NA,NA,1.46038,NA,0.93985
490,NA,NA,NA,NA,NA,NA,NA,1.4684,NA,0.94508
491,NA,NA,NA,NA,NA,NA,NA,1.47694,NA,0.95058
492,NA,NA,NA,NA,NA,NA,NA,1.48279,NA,0.9542
493,NA,NA,NA,NA,NA,NA,NA,1.48855,NA,0.95755
494,NA,NA,NA,NA,NA,NA,NA,1.49291,NA,0.96
495,NA,NA,NA,NA,NA,NA,NA,1.49392,NA,0.96052
496,NA,NA,NA,NA,NA,NA,NA,1.49121,NA,0.95871
497,NA,NA,NA,NA,NA,NA,NA,1.48649,NA,0.95557
498,NA,NA,NA,NA,NA,NA,NA,1.48163,NA,0.95232
499,NA,NA,NA,NA,NA,NA,NA,1.47621,NA,0.94869
500,NA,NA,NA,NA,NA,NA,NA,1.46998,NA,0.94451
501,NA,NA,NA,NA,NA,NA,NA,1.46566,NA,0.94152
502,NA,NA,NA,NA,NA,NA,NA,1.46475,NA,0.94069
503,NA,NA,NA,NA,NA,NA,NA,1.46452,NA,0.94026
504,NA,NA,NA,NA,NA,NA,NA,1.46453,NA,0.94003
505,NA,NA,NA,NA,NA,NA,NA,1.46478,NA,0.94008
506,NA,NA,NA,NA,NA,NA,NA,1.46642,NA,0.94113
507,NA,NA,NA,NA,NA,NA,NA,1.46844,NA,0.94251
508,NA,NA,NA,NA,NA,NA,NA,1.46936,NA,0.94316
509,NA,NA,NA,NA,NA,NA,NA,1.46684,NA,0.94176
510,NA,NA,NA,NA,NA,NA,NA,1.46091,NA,0.93841
511,NA,NA,NA,NA,NA,NA,NA,1.45339,NA,0.93407
512,NA,NA,NA,NA,NA,NA,NA,1.44397,NA,0.92827
513,NA,NA,NA,NA,NA,NA,NA,1.43019,NA,0.91936
514,NA,NA,NA,NA,NA,NA,NA,1.41663,NA,0.91056
515,NA,NA,NA,NA,NA,NA,NA,1.4074,NA,0.90481
516,NA,NA,NA,NA,NA,NA,NA,1.39927,NA,0.90005
517,NA,NA,NA,NA,NA,NA,NA,1.39296,NA,0.89646
518,NA,NA,NA,NA,NA,NA,NA,1.39075,NA,0.89524
519,NA,NA,NA,NA,NA,NA,NA,1.39368,NA,0.89697
520,NA,NA,NA,NA,NA,NA,NA,1.39973,NA,0.90056
521,NA,NA,NA,NA,NA,NA,NA,1.40643,NA,0.90462
522,NA,NA,NA,NA,NA,NA,NA,1.41272,NA,0.90866
523,NA,NA,NA,NA,NA,NA,NA,1.41987,NA,0.91339
524,NA,NA,NA,NA,NA,NA,NA,1.42676,NA,0.91794
525,NA,NA,NA,NA,NA,NA,NA,1.4323,NA,0.92148
526,NA,NA,NA,NA,NA,NA,NA,1.43702,NA,0.92435
527,NA,NA,NA,NA,NA,NA,NA,1.44126,NA,0.92693
528,NA,NA,NA,NA,NA,NA,NA,1.44532,NA,0.92946
529,NA,NA,NA,NA,NA,NA,NA,1.44989,NA,0.93236
530,NA,NA,NA,NA,NA,NA,NA,1.45412,NA,0.93505
531,NA,NA,NA,NA,NA,NA,NA,1.45655,NA,0.93659
532,NA,NA,NA,NA,NA,NA,NA,1.45713,NA,0.93693
533,NA,NA,NA,NA,NA,NA,NA,1.45753,NA,0.93717
534,NA,NA,NA,NA,NA,NA,NA,1.45771,NA,0.93727
535,NA,NA,NA,NA,NA,NA,NA,1.45701,NA,0.93682
536,NA,NA,NA,NA,NA,NA,NA,1.45346,NA,0.93456
537,NA,NA,NA,NA,NA,NA,NA,1.44875,NA,0.9315
538,NA,NA,NA,NA,NA,NA,NA,1.44496,NA,0.92897
539,NA,NA,NA,NA,NA,NA,NA,1.44119,NA,0.92638
540,NA,NA,NA,NA,NA,NA,NA,1.43765,NA,0.92399
541,NA,NA,NA,NA,NA,NA,NA,1.43581,NA,0.92278
542,NA,NA,NA,NA,NA,NA,NA,1.43565,NA,0.9227
543,NA,NA,NA,NA,NA,NA,NA,1.43574,NA,0.92272
544,NA,NA,NA,NA,NA,NA,NA,1.43588,NA,0.9228
545,NA,NA,NA,NA,NA,NA,NA,1.43617,NA,0.923
546,NA,NA,NA,NA,NA,NA,NA,1.43702,NA,0.92362
547,NA,NA,NA,NA,NA,NA,NA,1.43786,NA,0.92428
548,NA,NA,NA,NA,NA,NA,NA,1.43815,NA,0.92456
549,NA,NA,NA,NA,NA,NA,NA,1.43806,NA,0.92464
550,NA,NA,NA,NA,NA,NA,NA,1.43782,NA,0.92466
551,NA,NA,NA,NA,NA,NA,NA,1.43749,NA,0.92461
552,NA,NA,NA,NA,NA,NA,NA,1.43591,NA,0.92368
