lambda,Sta_01,Sta_02,Sta_03,Sta_04,Sta_05,Sta_06,Sta_07,Sta_08,Sta_09,Sta_10
350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
354,0.27044,0.4962,0.48385,0.48704,0.53375,0.57042,0.49577,0.49504,0.33031,0.34204
355,0.27277,0.50118,0.48894,0.49241,0.53934,0.57679,0.50117,0.50009,0.33318,0.3454
356,0.27553,0.50702,0.49483,0.49864,0.54584,0.58415,0.50736,0.50591,0.33659,0.34934
357,0.2788,0.51386,0.50168,0.50584,0.5534,0.59267,0.51456,0.51264,0.34066,0.35395
358,0.28256,0.52158,0.50945,0.51389,0.56191,0.60225,0.5227,0.52027,0.34531,0.35914
359,0.2869,0.53031,0.5183,0.52301,0.57153,0.61299,0.53184,0.52893,0.35056,0.36503
360,0.29173,0.53999,0.52805,0.53309,0.58219,0.62486,0.54196,0.53848,0.35648,0.37156
361,0.29699,0.5505,0.53853,0.54394,0.5937,0.63766,0.55289,0.54874,0.36291,0.3786
362,0.30245,0.56135,0.54934,0.5551,0.60558,0.65088,0.56418,0.55935,0.36953,0.38586
363,0.30774,0.5719,0.55988,0.5659,0.61709,0.66368,0.57509,0.56961,0.37594,0.39292
364,0.31287,0.58224,0.57016,0.57643,0.62834,0.67619,0.58576,0.57961,0.38219,0.39978
365,0.31775,0.59208,0.57994,0.58648,0.63908,0.68818,0.59598,0.58915,0.38814,0.40634
366,0.32212,0.60094,0.58879,0.59557,0.64878,0.69903,0.6053,0.59777,0.39345,0.41227
367,0.32573,0.60843,0.59627,0.60328,0.65702,0.7083,0.61321,0.60502,0.39782,0.41721
368,0.32855,0.61441,0.60223,0.6095,0.66361,0.7158,0.61959,0.61078,0.40122,0.42112
369,0.33067,0.61911,0.60693,0.61444,0.66882,0.72183,0.62471,0.61527,0.40379,0.42418
370,0.33224,0.6228,0.61065,0.61835,0.67292,0.72664,0.62878,0.61875,0.40561,0.42651
371,0.33328,0.62552,0.6134,0.62129,0.67593,0.73031,0.63185,0.62124,0.4068,0.42816
372,0.3339,0.62745,0.6154,0.62347,0.67813,0.7331,0.63418,0.62295,0.40751,0.42929
373,0.33429,0.629,0.617,0.62528,0.67992,0.73542,0.63616,0.62429,0.40794,0.43014
374,0.33443,0.63002,0.6181,0.62656,0.68116,0.73712,0.63761,0.62512,0.40802,0.43064
375,0.33425,0.6304,0.61853,0.62716,0.68164,0.73804,0.63836,0.62528,0.40767,0.43069
376,0.33371,0.63008,0.61825,0.62707,0.68138,0.73815,0.63842,0.62477,0.4069,0.43026
377,0.33286,0.62908,0.61731,0.62634,0.6804,0.73747,0.63781,0.62361,0.40575,0.42943
378,0.33173,0.62757,0.61589,0.62509,0.67889,0.7362,0.6367,0.62196,0.40428,0.42829
379,0.33047,0.62579,0.61415,0.62357,0.67706,0.73461,0.63531,0.62008,0.40264,0.42695
380,0.32916,0.62386,0.61226,0.62191,0.67505,0.73284,0.63377,0.61807,0.40094,0.42553
381,0.32796,0.62212,0.6106,0.62047,0.67327,0.73131,0.63244,0.61627,0.39937,0.42429
382,0.32711,0.62109,0.60961,0.6197,0.67222,0.73057,0.63179,0.61516,0.39824,0.42351
383,0.32681,0.62107,0.60962,0.61993,0.67224,0.731,0.63212,0.61506,0.39774,0.42341
384,0.32703,0.62201,0.6106,0.62116,0.67331,0.73261,0.63344,0.61591,0.39789,0.42399
385,0.32781,0.62404,0.61266,0.62351,0.67558,0.73553,0.6359,0.61786,0.39876,0.4253
386,0.32919,0.62725,0.6159,0.62698,0.6791,0.7398,0.63955,0.62097,0.40036,0.42742
387,0.33138,0.63202,0.62067,0.63201,0.68431,0.74592,0.64479,0.6256,0.40294,0.43059
388,0.33447,0.63852,0.62712,0.63879,0.69141,0.7541,0.6518,0.63194,0.40662,0.43493
389,0.33843,0.6467,0.63525,0.64729,0.70037,0.76428,0.66053,0.63998,0.41141,0.44047
390,0.34345,0.65693,0.64541,0.65788,0.71157,0.77692,0.67138,0.65009,0.4175,0.44741
391,0.34977,0.66965,0.65803,0.67103,0.72549,0.79255,0.68481,0.6627,0.42519,0.45605
392,0.3576,0.68525,0.67351,0.68712,0.74255,0.81159,0.70118,0.67815,0.43467,0.46665
393,0.36703,0.704,0.69211,0.70637,0.76295,0.83438,0.72073,0.69666,0.44608,0.47938
394,0.37821,0.7262,0.71412,0.72911,0.78712,0.86133,0.74387,0.71859,0.45962,0.49444
395,0.39127,0.75205,0.73974,0.75551,0.81526,0.89262,0.77075,0.7441,0.47542,0.51194
396,0.40614,0.78142,0.76883,0.78547,0.84722,0.92812,0.80124,0.77304,0.49342,0.53181
397,0.42239,0.81347,0.80054,0.81813,0.88209,0.96682,0.83447,0.80462,0.51305,0.55345
398,0.43935,0.84694,0.83366,0.85221,0.91853,1.00726,0.86921,0.83752,0.53355,0.57603
399,0.45646,0.88073,0.86709,0.88658,0.95531,1.04811,0.90433,0.87065,0.55419,0.59878
400,0.47311,0.91366,0.89961,0.92006,0.99114,1.08792,0.93857,0.90292,0.57425,0.62093
401,0.48865,0.94455,0.93008,0.95144,1.02475,1.12531,0.97071,0.9332,0.59301,0.64169
402,0.50259,0.97233,0.95752,0.97973,1.05504,1.15908,0.99974,0.96043,0.60984,0.66035
403,0.51462,0.99641,0.98132,1.00437,1.08141,1.18855,1.02508,0.98405,0.6244,0.67653
404,0.52474,1.01676,1.00145,1.02525,1.10373,1.21359,1.04661,1.004,0.63658,0.69022
405,0.53303,1.03357,1.01808,1.04258,1.1222,1.23441,1.0645,1.02044,0.64653,0.70151
406,0.53968,1.04724,1.03163,1.0568,1.13726,1.25152,1.07919,1.03381,0.6545,0.71067
407,0.54496,1.05828,1.04259,1.06838,1.14942,1.26548,1.09116,1.04457,0.66079,0.71806
408,0.54925,1.0674,1.05166,1.07802,1.1595,1.27716,1.10117,1.05348,0.66586,0.72412
409,0.55288,1.0753,1.05952,1.08644,1.16823,1.28736,1.10989,1.06122,0.67017,0.72935
410,0.55609,1.08242,1.06666,1.09407,1.17613,1.29664,1.11781,1.06815,0.674,0.73408
411,0.55912,1.08909,1.0734,1.10128,1.18354,1.30542,1.12529,1.0746,0.67753,0.73849
412,0.56203,1.09555,1.07988,1.10825,1.19068,1.31389,1.13252,1.08083,0.68086,0.74274
413,0.56461,1.10139,1.08573,1.11456,1.19716,1.32161,1.13912,1.08645,0.68382,0.74657
414,0.56668,1.10624,1.0906,1.11988,1.20255,1.32813,1.14467,1.09108,0.68619,0.74971
415,0.56819,1.11,1.09438,1.12412,1.20676,1.33334,1.14908,1.09466,0.6879,0.75209
416,0.56908,1.11264,1.09703,1.12715,1.20971,1.33718,1.15232,1.09711,0.68888,0.75372
417,0.56933,1.114,1.0984,1.12888,1.21127,1.33947,1.15425,1.09826,0.68908,0.75448
418,0.56895,1.11406,1.09854,1.12931,1.21142,1.34017,1.15482,1.09813,0.68849,0.75438
419,0.56787,1.11267,1.09729,1.12827,1.21002,1.33912,1.15389,1.09656,0.68698,0.75328
420,0.56591,1.10958,1.09431,1.12549,1.20674,1.33602,1.15121,1.09334,0.68444,0.75103
421,0.56313,1.10494,1.08973,1.1211,1.20176,1.33102,1.14689,1.08861,0.68098,0.74773
422,0.55969,1.09898,1.08386,1.11536,1.19535,1.32445,1.14119,1.0826,0.67673,0.74357
423,0.55585,1.09222,1.07722,1.10883,1.18807,1.31691,1.13467,1.07583,0.672,0.73887
424,0.55187,1.08514,1.07025,1.10198,1.18043,1.30897,1.12782,1.06876,0.66708,0.73398
425,0.548,1.07829,1.06355,1.09538,1.17306,1.30131,1.12121,1.06193,0.66232,0.72929
426,0.5446,1.07231,1.05777,1.08974,1.16667,1.29472,1.11551,1.05603,0.65817,0.7252
427,0.54216,1.06821,1.05386,1.086,1.16231,1.29042,1.11174,1.05197,0.65515,0.72237
428,0.54101,1.06669,1.05249,1.08486,1.16071,1.28922,1.11061,1.05043,0.65368,0.72127
429,0.54138,1.06824,1.05413,1.08686,1.16244,1.29175,1.11268,1.0519,0.6541,0.72224
430,0.54356,1.07337,1.05934,1.09252,1.1681,1.29861,1.11848,1.0569,0.6567,0.72563
431,0.54754,1.08198,1.06805,1.10174,1.17754,1.30969,1.1279,1.0653,0.6614,0.73136
432,0.55307,1.09365,1.07979,1.11408,1.19032,1.3245,1.14052,1.07669,0.66796,0.73913
433,0.55986,1.10793,1.09406,1.12907,1.20596,1.34245,1.15586,1.09063,0.6761,0.74864
434,0.56765,1.12427,1.11037,1.14618,1.22385,1.36294,1.17335,1.1066,0.68547,0.7595
435,0.57619,1.14209,1.12812,1.16479,1.24336,1.38523,1.19239,1.12399,0.69568,0.77133
436,0.58513,1.1607,1.1466,1.18418,1.26373,1.40849,1.21228,1.14213,0.70634,0.78367
437,0.59407,1.17938,1.16517,1.20373,1.28426,1.4319,1.23232,1.16039,0.71707,0.79609
438,0.60291,1.19793,1.1836,1.22313,1.30465,1.45518,1.25224,1.17855,0.72771,0.80841
439,0.61161,1.2162,1.20171,1.24224,1.32472,1.47811,1.27188,1.19643,0.73816,0.82054
440,0.62011,1.23403,1.2194,1.26094,1.34434,1.50055,1.29107,1.21389,0.74833,0.83238
441,0.62836,1.25138,1.23665,1.27915,1.36345,1.52243,1.30981,1.23088,0.75822,0.8439
442,0.63644,1.26841,1.25355,1.29702,1.38217,1.54391,1.32819,1.24752,0.7679,0.85519
443,0.64445,1.28523,1.27022,1.31464,1.40062,1.56509,1.34633,1.26391,0.77744,0.86632
444,0.65237,1.30184,1.28668,1.33199,1.41878,1.58599,1.36423,1.28006,0.78685,0.87733
445,0.66009,1.31807,1.30276,1.34894,1.43651,1.6064,1.38174,1.2958,0.79604,0.88808
446,0.66751,1.33367,1.31819,1.36522,1.45353,1.62606,1.39858,1.31091,0.80487,0.89841
447,0.67444,1.34823,1.33256,1.38039,1.46938,1.64442,1.41432,1.325,0.81305,0.90805
448,0.68061,1.36122,1.34538,1.39399,1.48354,1.66087,1.42844,1.33757,0.82031,0.91665
449,0.68586,1.37237,1.35641,1.40572,1.49569,1.67507,1.44066,1.34832,0.82648,0.92404
450,0.69023,1.38173,1.36568,1.41562,1.5059,1.68712,1.451,1.3573,0.83158,0.93025
451,0.69386,1.38963,1.37343,1.42401,1.5145,1.69735,1.45979,1.36486,0.83579,0.93547
452,0.6969,1.39638,1.38007,1.43123,1.52187,1.70618,1.46738,1.37135,0.83931,0.93993
453,0.69954,1.40231,1.38594,1.43763,1.52837,1.71403,1.47413,1.37706,0.84235,0.94385
454,0.70186,1.40762,1.39119,1.44338,1.5342,1.72111,1.48023,1.38215,0.845,0.94734
455,0.70388,1.41232,1.39583,1.44848,1.53935,1.72745,1.48569,1.38661,0.84726,0.9504
456,0.70553,1.41631,1.39976,1.45287,1.54372,1.73288,1.49038,1.39039,0.84909,0.95297
457,0.70688,1.4197,1.40313,1.45664,1.54746,1.73757,1.49446,1.39358,0.85056,0.95515
458,0.70802,1.42269,1.4061,1.45999,1.55076,1.7418,1.49811,1.39634,0.85179,0.95704
459,0.709,1.42536,1.40869,1.46299,1.5537,1.74563,1.50141,1.39876,0.85282,0.95869
460,0.7097,1.4275,1.41077,1.46544,1.55606,1.7488,1.50417,1.40064,0.85351,0.95996
461,0.70994,1.4287,1.41194,1.46694,1.5574,1.75081,1.50595,1.40157,0.85365,0.96059
462,0.70959,1.4287,1.4119,1.4672,1.55745,1.75137,1.50647,1.40132,0.85308,0.96044
463,0.70866,1.4276,1.41074,1.46635,1.55628,1.75057,1.50583,1.39999,0.85184,0.95954
464,0.70735,1.42573,1.40885,1.46474,1.55429,1.74885,1.50439,1.39796,0.85015,0.95813
465,0.70587,1.42352,1.40664,1.46284,1.55198,1.74676,1.50263,1.39565,0.84828,0.95651
466,0.70447,1.42149,1.40461,1.4611,1.54987,1.74489,1.50106,1.39349,0.84649,0.95498
467,0.7033,1.41996,1.40307,1.45986,1.54827,1.74361,1.49999,1.39178,0.84497,0.95374
468,0.70242,1.41907,1.40216,1.45927,1.54735,1.74308,1.49955,1.39071,0.8438,0.9529
469,0.70193,1.419,1.40206,1.45951,1.5473,1.74352,1.49996,1.39046,0.84311,0.95259
470,0.70195,1.41998,1.403,1.46079,1.54839,1.74522,1.50142,1.39127,0.84302,0.95296
471,0.70255,1.42216,1.40513,1.4633,1.55075,1.74835,1.5041,1.39323,0.84362,0.9541
472,0.70375,1.42557,1.40845,1.46701,1.5544,1.75295,1.50803,1.39637,0.84493,0.95604
473,0.70542,1.42989,1.41265,1.47162,1.55903,1.75866,1.51288,1.40041,0.8468,0.95858
474,0.70734,1.43465,1.41729,1.47669,1.56414,1.76489,1.5182,1.40488,0.84896,0.96146
475,0.70938,1.43955,1.42206,1.48188,1.56938,1.77128,1.52363,1.40949,0.85125,0.96448
476,0.71119,1.44383,1.42623,1.48643,1.57393,1.77691,1.52843,1.41349,0.85322,0.96716
477,0.71226,1.44649,1.42879,1.48934,1.57674,1.78055,1.53155,1.41593,0.85432,0.96883
478,0.71214,1.44663,1.42886,1.48962,1.57682,1.78108,1.53204,1.41594,0.85401,0.96892
479,0.71066,1.4439,1.42607,1.48696,1.57379,1.77809,1.52952,1.41317,0.85207,0.96716
480,0.70779,1.43823,1.42038,1.48133,1.56759,1.77152,1.52396,1.40758,0.84848,0.96352
481,0.70374,1.43008,1.41228,1.47317,1.55873,1.76193,1.51579,1.3996,0.84349,0.95829
482,0.69896,1.42037,1.40268,1.46347,1.54816,1.75042,1.50598,1.39014,0.83761,0.95206
483,0.69387,1.41003,1.39252,1.45316,1.53692,1.73813,1.49552,1.38006,0.83136,0.94543
484,0.68894,1.40011,1.38276,1.44324,1.52609,1.7263,1.48546,1.37035,0.82535,0.93905
485,0.68457,1.39137,1.37417,1.43454,1.51654,1.71593,1.47665,1.36178,0.82001,0.93343
486,0.68101,1.38436,1.36727,1.4276,1.50886,1.70767,1.46961,1.3549,0.81564,0.92891
487,0.67847,1.3795,1.3625,1.42287,1.50353,1.70206,1.46483,1.35012,0.8125,0.92578
488,0.67718,1.37716,1.36028,1.42079,1.50096,1.69959,1.46276,1.3478,0.81081,0.9243
489,0.67715,1.37746,1.36066,1.4214,1.50125,1.70037,1.46344,1.34803,0.81065,0.92455
490,0.67838,1.38035,1.36357,1.4246,1.50432,1.70429,1.46679,1.35072,0.81197,0.92649
491,0.68062,1.38532,1.36852,1.4299,1.50961,1.71073,1.47233,1.3554,0.81446,0.92976
492,0.68322,1.39114,1.37425,1.43602,1.51582,1.71821,1.47877,1.36086,0.81743,0.93356
493,0.68547,1.39624,1.37923,1.44141,1.52128,1.72481,1.48445,1.3656,0.81998,0.93685
494,0.68677,1.39937,1.38223,1.44478,1.52465,1.72902,1.48808,1.36843,0.82137,0.93882
495,0.68667,1.39972,1.38249,1.44534,1.52508,1.72985,1.4888,1.36858,0.82113,0.93892
496,0.68523,1.39752,1.38025,1.44333,1.52279,1.72759,1.48684,1.36627,0.81937,0.9373
497,0.68296,1.39375,1.37647,1.43976,1.51886,1.72343,1.48322,1.36246,0.81667,0.9346
498,0.68036,1.38945,1.37215,1.43572,1.51442,1.71865,1.47902,1.35814,0.81361,0.9315
499,0.67773,1.38523,1.36793,1.43184,1.51012,1.714,1.47493,1.35387,0.81055,0.92843
500,0.67524,1.38137,1.36408,1.42838,1.50628,1.70985,1.47126,1.34998,0.80768,0.92557
501,0.67299,1.37799,1.36071,1.42544,1.503,1.70633,1.46813,1.34659,0.8051,0.92305
502,0.67113,1.3753,1.35802,1.42318,1.50044,1.70365,1.46573,1.34389,0.80297,0.92102
503,0.66991,1.37373,1.35648,1.42204,1.49904,1.70233,1.46452,1.34232,0.80156,0.9198
504,0.66933,1.37335,1.35612,1.42204,1.49882,1.7024,1.4645,1.34187,0.80087,0.9194
505,0.66935,1.37403,1.3568,1.42301,1.49961,1.70367,1.46555,1.34242,0.80085,0.91975
506,0.66987,1.37541,1.35819,1.42457,1.50102,1.70571,1.46732,1.34365,0.8013,0.92063
507,0.6705,1.37678,1.35951,1.42597,1.50227,1.70761,1.46901,1.34482,0.80181,0.92155
508,0.67067,1.37699,1.35965,1.42604,1.50212,1.70797,1.46941,1.34483,0.8017,0.92173
509,0.6698,1.37487,1.3575,1.42361,1.49936,1.70539,1.46731,1.34258,0.80031,0.92041
510,0.66748,1.36972,1.35229,1.41796,1.49324,1.69898,1.46192,1.33734,0.79721,0.9171
511,0.66384,1.36178,1.34432,1.40943,1.48408,1.68907,1.45354,1.32942,0.79253,0.91196
512,0.65926,1.35192,1.33448,1.39894,1.47286,1.67678,1.4431,1.31963,0.78672,0.90555
513,0.65425,1.34131,1.3239,1.3877,1.46083,1.66355,1.43182,1.30909,0.78043,0.8986
514,0.64943,1.3312,1.31384,1.37709,1.4494,1.65097,1.4211,1.29915,0.77443,0.892
515,0.64549,1.32301,1.30568,1.36853,1.44011,1.6408,1.41242,1.29109,0.76952,0.88665
516,0.64278,1.31742,1.30009,1.36273,1.43374,1.63393,1.40652,1.28556,0.76607,0.88299
517,0.64125,1.31437,1.29703,1.35964,1.4302,1.6303,1.40337,1.28253,0.76408,0.88103
518,0.64072,1.31346,1.29609,1.35881,1.42905,1.62939,1.40253,1.28158,0.7633,0.88047
519,0.64107,1.31442,1.29697,1.35992,1.42994,1.63081,1.40367,1.28245,0.76359,0.88113
520,0.64237,1.31732,1.29978,1.36307,1.43295,1.63466,1.40689,1.28523,0.765,0.88308
521,0.64459,1.32214,1.30451,1.36819,1.43807,1.64091,1.41214,1.28989,0.76751,0.88628
522,0.64747,1.32837,1.31061,1.37473,1.44472,1.64889,1.41886,1.2959,0.77083,0.89041
523,0.65082,1.33554,1.31765,1.38222,1.4524,1.65803,1.42658,1.30286,0.77469,0.89516
524,0.65447,1.34326,1.32523,1.39024,1.46069,1.66783,1.43485,1.31032,0.77887,0.90025
525,0.65795,1.35071,1.33251,1.39798,1.46868,1.67728,1.44284,1.31749,0.78287,0.90514
526,0.66064,1.35655,1.33819,1.40404,1.47493,1.68474,1.44912,1.32309,0.78594,0.90896
527,0.66233,1.36033,1.34181,1.40792,1.47891,1.68961,1.4532,1.32669,0.78782,0.9114
528,0.66334,1.36272,1.34403,1.41035,1.48137,1.69272,1.45578,1.32898,0.78893,0.91294
529,0.66421,1.36476,1.34597,1.41246,1.48347,1.69542,1.45801,1.33097,0.78985,0.91428
530,0.66531,1.36727,1.3484,1.4151,1.48607,1.69871,1.46077,1.33343,0.79104,0.91596
531,0.66661,1.3702,1.35124,1.41824,1.48914,1.70254,1.46402,1.33631,0.79247,0.91793
532,0.66785,1.37304,1.35396,1.42132,1.49211,1.70627,1.46719,1.33903,0.79382,0.9198
533,0.66833,1.37438,1.35518,1.42288,1.49349,1.70818,1.46883,1.34026,0.79428,0.92065
534,0.66767,1.37347,1.35415,1.42213,1.49247,1.70735,1.46811,1.33926,0.79342,0.91999
535,0.66582,1.37018,1.35075,1.41895,1.48892,1.70361,1.46489,1.33597,0.79118,0.91773
536,0.66332,1.36563,1.34611,1.41452,1.48403,1.69832,1.46033,1.33146,0.78819,0.91461
537,0.6608,1.36111,1.34156,1.41019,1.47921,1.69309,1.45581,1.32699,0.7852,0.91151
