wavelength diffuse_irrad
3.500e+02 2.099e+02
3.600e+02 2.053e+02
3.700e+02 2.411e+02
3.800e+02 2.123e+02
3.900e+02 2.143e+02
4.000e+02 2.913e+02
4.100e+02 2.663e+02
4.200e+02 2.677e+02
4.300e+02 2.049e+02
4.400e+02 2.655e+02
4.500e+02 2.942e+02
4.600e+02 2.798e+02
4.700e+02 2.622e+02
4.800e+02 2.676e+02
4.900e+02 2.511e+02
5.000e+02 2.319e+02
5.100e+02 2.207e+02
5.200e+02 2.045e+02
5.300e+02 2.062e+02
5.400e+02 1.909e+02
5.500e+02 1.925e+02
5.600e+02 1.757e+02
5.700e+02 1.719e+02
5.800e+02 1.689e+02
5.900e+02 1.552e+02
6.000e+02 1.546e+02
6.100e+02 1.465e+02
6.200e+02 1.430e+02
6.300e+02 1.376e+02
6.400e+02 1.314e+02
6.500e+02 1.264e+02
6.600e+02 1.217e+02
6.700e+02 1.176e+02
6.800e+02 1.124e+02
6.900e+02 1.092e+02
7.000e+02 1.053e+02
7.100e+02 9.977e+01
7.200e+02 8.530e+01
7.300e+02 8.235e+01
7.400e+02 8.390e+01
7.500e+02 8.330e+01
7.600e+02 5.931e+01
7.700e+02 7.199e+01
7.800e+02 7.159e+01
7.900e+02 6.926e+01
8.000e+02 6.506e+01
8.100e+02 6.013e+01
8.200e+02 5.271e+01
8.300e+02 5.421e+01
8.400e+02 5.498e+01
8.500e+02 4.930e+01
8.600e+02 5.164e+01
8.700e+02 5.031e+01
8.800e+02 4.844e+01
8.900e+02 4.551e+01
9.000e+02 3.690e+01
9.100e+02 3.639e+01
9.200e+02 3.603e+01
9.300e+02 2.022e+01
9.400e+02 1.691e+01
9.500e+02 1.583e+01
9.600e+02 1.817e+01
9.700e+02 2.747e+01
9.800e+02 2.804e+01
9.900e+02 2.968e+01
1.000e+03 2.959e+01
