wavelength direct_irrad
3.500e+02 1.373e+02
3.600e+02 1.509e+02
3.700e+02 1.970e+02
3.800e+02 1.910e+02
3.900e+02 2.107e+02
4.000e+02 3.111e+02
4.100e+02 3.063e+02
4.200e+02 3.300e+02
4.300e+02 2.697e+02
4.400e+02 3.717e+02
4.500e+02 4.368e+02
4.600e+02 4.374e+02
4.700e+02 4.314e+02
4.800e+02 4.607e+02
4.900e+02 4.535e+02
5.000e+02 4.366e+02
5.100e+02 4.315e+02
5.200e+02 4.157e+02
5.300e+02 4.314e+02
5.400e+02 4.146e+02
5.500e+02 4.326e+02
5.600e+02 4.058e+02
5.700e+02 4.069e+02
5.800e+02 4.146e+02
5.900e+02 3.960e+02
6.000e+02 4.048e+02
6.100e+02 3.984e+02
6.200e+02 4.057e+02
6.300e+02 4.060e+02
6.400e+02 4.038e+02
6.500e+02 4.038e+02
6.600e+02 4.023e+02
6.700e+02 4.024e+02
6.800e+02 3.976e+02
6.900e+02 3.940e+02
7.000e+02 3.965e+02
7.100e+02 3.837e+02
7.200e+02 2.885e+02
7.300e+02 2.903e+02
7.400e+02 3.438e+02
7.500e+02 3.616e+02
7.600e+02 1.618e+02
7.700e+02 2.953e+02
7.800e+02 3.369e+02
7.900e+02 3.311e+02
8.000e+02 3.169e+02
8.100e+02 2.798e+02
8.200e+02 2.217e+02
8.300e+02 2.528e+02
8.400e+02 2.827e+02
8.500e+02 2.735e+02
8.600e+02 2.939e+02
8.700e+02 2.932e+02
8.800e+02 2.883e+02
8.900e+02 2.689e+02
9.000e+02 1.792e+02
9.100e+02 1.868e+02
9.200e+02 1.940e+02
9.300e+02 4.781e+01
9.400e+02 3.296e+01
9.500e+02 2.985e+01
9.600e+02 4.665e+01
9.700e+02 1.447e+02
9.800e+02 1.675e+02
9.900e+02 2.120e+02
1.000e+03 2.266e+02
