wavelength diffuse_irrad
3.5e+02 1.0e+02
3.6e+02 1.0e+02
3.7e+02 1.0e+02
3.8e+02 1.0e+02
3.9e+02 1.0e+02
4.0e+02 1.0e+02
4.1e+02 1.0e+02
4.2e+02 1.0e+02
4.3e+02 1.0e+02
4.4e+02 1.0e+02
4.5e+02 1.0e+02
4.6e+02 1.0e+02
4.7e+02 1.0e+02
4.8e+02 1.0e+02
4.9e+02 1.0e+02
5.0e+02 1.0e+02
5.1e+02 1.0e+02
5.2e+02 1.0e+02
5.3e+02 1.0e+02
5.4e+02 1.0e+02
5.5e+02 1.0e+02
5.6e+02 1.0e+02
5.7e+02 1.0e+02
5.8e+02 1.0e+02
5.9e+02 1.0e+02
6.0e+02 1.0e+02
6.1e+02 1.0e+02
6.2e+02 1.0e+02
6.3e+02 1.0e+02
6.4e+02 1.0e+02
6.5e+02 1.0e+02
6.6e+02 1.0e+02
6.7e+02 1.0e+02
6.8e+02 1.0e+02
6.9e+02 1.0e+02
7.0e+02 1.0e+02
7.1e+02 1.0e+02
7.2e+02 1.0e+02
7.3e+02 1.0e+02
7.4e+02 1.0e+02
7.5e+02 1.0e+02
7.6e+02 1.0e+02
7.7e+02 1.0e+02
7.8e+02 1.0e+02
7.9e+02 1.0e+02
8.0e+02 1.0e+02
8.1e+02 1.0e+02
8.2e+02 1.0e+02
8.3e+02 1.0e+02
8.4e+02 1.0e+02
8.5e+02 1.0e+02
8.6e+02 1.0e+02
8.7e+02 1.0e+02
8.8e+02 1.0e+02
8.9e+02 1.0e+02
9.0e+02 1.0e+02
9.1e+02 1.0e+02
9.2e+02 1.0e+02
9.3e+02 1.0e+02
9.4e+02 1.0e+02
9.5e+02 1.0e+02
9.6e+02 1.0e+02
9.7e+02 1.0e+02
9.8e+02 1.0e+02
9.9e+02 1.0e+02
1.0e+03 1.0e+02
