wavelength direct_irrad
3.5e+02 0.0e+00
3.6e+02 0.0e+00
3.7e+02 0.0e+00
3.8e+02 0.0e+00
3.9e+02 0.0e+00
4.0e+02 0.0e+00
4.1e+02 0.0e+00
4.2e+02 0.0e+00
4.3e+02 0.0e+00
4.4e+02 0.0e+00
4.5e+02 0.0e+00
4.6e+02 0.0e+00
4.7e+02 0.0e+00
4.8e+02 0.0e+00
4.9e+02 0.0e+00
5.0e+02 0.0e+00
5.1e+02 0.0e+00
5.2e+02 0.0e+00
5.3e+02 0.0e+00
5.4e+02 0.0e+00
5.5e+02 0.0e+00
5.6e+02 0.0e+00
5.7e+02 0.0e+00
5.8e+02 0.0e+00
5.9e+02 0.0e+00
6.0e+02 0.0e+00
6.1e+02 0.0e+00
6.2e+02 0.0e+00
6.3e+02 0.0e+00
6.4e+02 0.0e+00
6.5e+02 0.0e+00
6.6e+02 0.0e+00
6.7e+02 0.0e+00
6.8e+02 0.0e+00
6.9e+02 0.0e+00
7.0e+02 0.0e+00
7.1e+02 0.0e+00
7.2e+02 0.0e+00
7.3e+02 0.0e+00
7.4e+02 0.0e+00
7.5e+02 0.0e+00
7.6e+02 0.0e+00
7.7e+02 0.0e+00
7.8e+02 0.0e+00
7.9e+02 0.0e+00
8.0e+02 0.0e+00
8.1e+02 0.0e+00
8.2e+02 0.0e+00
8.3e+02 0.0e+00
8.4e+02 0.0e+00
8.5e+02 0.0e+00
8.6e+02 0.0e+00
8.7e+02 0.0e+00
8.8e+02 0.0e+00
8.9e+02 0.0e+00
9.0e+02 0.0e+00
9.1e+02 0.0e+00
9.2e+02 0.0e+00
9.3e+02 0.0e+00
9.4e+02 0.0e+00
9.5e+02 0.0e+00
9.6e+02 0.0e+00
9.7e+02 0.0e+00
9.8e+02 0.0e+00
9.9e+02 0.0e+00
1.0e+03 0.0e+00
